Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
13.5,3.252529380101132,16.0,7.0,15.0,20.0,-4.0,-1.2298121039188359
14.0,2.9379548919900764,15.0,8.0,10.0,8.0,10.0,2.3826097599675617
14.5,2.6852423197524415,13.0,10.0,6.0,17.0,-8.0,-1.4896234766509895
14.5,3.0174928596261394,13.0,9.0,5.0,18.0,-11.0,-1.6570047495056837
13.0,3.340343505815248,6.0,6.0,0.0,6.0,0.0,0.0
13.5,3.052177824715364,12.0,7.0,6.0,7.0,6.0,1.6381745386890372
13.5,4.0327605798927415,11.0,5.0,4.0,17.0,-12.0,-1.4878145828730505
9.0,2.8654015976455156,6.0,3.0,1.0,15.0,-18.0,-3.1409209820345074
11.0,2.470883072485369,13.0,7.0,16.0,9.0,13.0,1.618854426800759
16.0,2.051956704170308,18.0,12.0,15.0,12.0,15.0,2.9240383034426896
13.0,2.9379548919900764,12.0,8.0,5.0,18.0,-13.0,-2.042236937115053
13.0,4.103913408340616,5.0,5.0,0.0,21.0,-19.0,-3.8987177379235862
9.5,1.8496087779795347,13.0,6.0,19.0,13.0,0.0,0.0
13.0,2.7144835701531846,12.0,8.0,6.0,8.0,6.0,1.4735767952260144
11.0,3.0435436410107286,9.0,5.0,3.0,5.0,3.0,1.3142574813455419
8.5,3.0174928596261394,9.0,3.0,10.0,14.0,-9.0,-1.6570047495056837
11.0,3.5243513774280433,15.0,4.0,16.0,13.0,2.0,0.567480306535024
13.0,4.026229789243216,13.0,5.0,9.0,21.0,-10.0,-1.986970545340808
16.0,3.5243513774280433,17.0,10.0,10.0,19.0,-6.0,-0.567480306535024
14.5,3.120391338480345,13.0,8.0,6.0,16.0,-5.0,-0.9614178718561063
