Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
8.0,2.756809750418044,6.0,5.0,4.0,2.0,12.0,18.0,-16.0,-2.539166875385041
4.5,1.02469507659596,6.0,6.0,3.0,16.0,6.0,16.0,0.0,0.0
11.0,3.4351128074635335,5.0,15.0,4.0,17.0,18.0,19.0,-2.0,-0.873333764609373
11.0,3.687817782917155,3.0,11.0,5.0,9.0,11.0,9.0,0.0,0.0
16.5,2.9748949561287032,6.0,20.0,11.0,16.0,20.0,16.0,0.0,0.0
18.5,1.2041594578792296,7.0,18.0,16.0,4.0,21.0,19.0,-15.0,-2.491364395612199
15.0,2.569046515733026,3.0,15.0,10.0,8.0,10.0,0.0,8.0,1.9462473604038075
13.5,1.5,4.0,14.0,11.0,10.0,11.0,0.0,10.0,2.0
15.0,3.4641016151377544,8.0,19.0,9.0,16.0,21.0,18.0,-2.0,-0.5773502691896258
17.0,2.8635642126552705,7.0,18.0,12.0,10.0,19.0,14.0,-4.0,-0.34921514788478913
11.5,4.129164564412516,7.0,16.0,3.0,16.0,20.0,19.0,-3.0,-0.9687189593929655
17.0,3.3466401061363023,9.0,18.0,11.0,12.0,23.0,18.0,-6.0,-1.494035761667992
13.0,3.4351128074635335,6.0,16.0,6.0,15.0,20.0,19.0,-4.0,-1.164445019479164
14.0,1.8439088914585775,2.0,12.0,11.0,2.0,11.0,0.0,2.0,0.5423261445466404
11.5,2.247220505424423,6.0,16.0,7.0,19.0,16.0,19.0,0.0,0.0
14.5,1.2041594578792296,6.0,14.0,12.0,4.0,17.0,19.0,-15.0,-2.491364395612199
11.5,3.4132096331752027,5.0,17.0,5.0,18.0,13.0,12.0,6.0,1.1719174706180953
16.0,2.4083189157584592,6.0,19.0,11.0,17.0,17.0,11.0,6.0,0.8304547985373997
21.0,2.449489742783178,6.0,24.0,18.0,16.0,23.0,10.0,6.0,0.4082482904638631
16.0,3.521363372331802,3.0,11.0,9.0,1.0,9.0,0.0,1.0,0.5679618342470648
