Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
14.0,2.7144835701531846,17.0,11.0,14.0,17.0,0.0,0.0
16.0,3.0435436410107286,18.0,10.0,14.0,22.0,-5.0,-1.3142574813455419
17.0,3.340343505815248,22.0,12.0,18.0,17.0,9.0,1.4968520427002294
15.0,3.8933141071383006,19.0,7.0,15.0,23.0,-4.0,-1.0274023338281628
12.0,3.4641016151377544,17.0,7.0,17.0,17.0,0.0,0.0
9.5,3.0174928596261394,14.0,4.0,18.0,15.0,-1.0,-0.3314009499011367
11.0,2.7144835701531846,16.0,6.0,19.0,16.0,0.0,0.0
13.0,3.5243513774280433,18.0,7.0,17.0,13.0,9.0,1.41870076633756
16.5,2.481510575605533,20.0,13.0,17.0,20.0,0.0,0.0
18.0,2.513123449750173,20.0,14.0,14.0,22.0,-4.0,-0.7958224257542215
22.5,2.481510575605533,23.0,18.0,10.0,26.0,-6.0,-1.2089410496539779
11.5,2.910959328215754,17.0,6.0,19.0,17.0,0.0,0.0
20.0,2.9379548919900764,21.0,15.0,10.0,19.0,5.0,0.6807456457050176
17.5,2.8003759146153744,21.0,12.0,17.0,12.0,17.0,3.2138542375787185
13.0,3.8661826678330438,18.0,6.0,17.0,20.0,-2.0,-0.5173061316114635
11.0,3.0435436410107286,15.0,5.0,17.0,17.0,-2.0,-0.6571287406727709
12.0,4.052289801035823,20.0,4.0,19.0,20.0,0.0,0.0
16.5,2.6056618514708556,17.0,12.0,10.0,21.0,-8.0,-1.535118610168876
17.0,3.244428422615251,16.0,11.0,5.0,23.0,-14.0,-2.1575449010391416
15.0,2.752988806446741,17.0,11.0,11.0,19.0,-6.0,-0.7264831572567789
