Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
16.0,2.0,15.0,12.0,5.0,20.0,19.0,-14.0,-2.5
13.5,2.7658633371878665,14.0,8.0,10.0,16.0,14.0,-4.0,-0.7231015260621871
18.5,3.2326459750489227,21.0,14.0,11.0,20.0,10.0,1.0,0.309344112444873
10.5,1.6881943016134133,13.0,8.0,17.0,13.0,17.0,0.0,0.0
11.5,1.4317821063276353,10.0,9.0,1.0,11.0,7.0,-6.0,-0.6984302957695783
18.5,2.7294688127912363,18.0,13.0,8.0,13.0,0.0,8.0,1.8318582636182792
15.5,1.9621416870348585,13.0,12.0,1.0,13.0,1.0,0.0,0.0
8.5,0.9219544457292888,10.0,7.0,17.0,10.0,17.0,0.0,0.0
11.5,2.1095023109728985,12.0,8.0,10.0,15.0,18.0,-8.0,-1.4221363894199317
15.0,4.09878030638384,11.0,7.0,3.0,23.0,19.0,-16.0,-2.927700218845599
10.0,2.756809750418044,9.0,4.0,8.0,16.0,19.0,-11.0,-2.539166875385041
9.0,3.794733192202055,3.0,3.0,0.0,9.0,4.0,-4.0,-1.5811388300841898
9.0,4.09878030638384,7.0,3.0,4.0,7.0,4.0,0.0,0.0
10.5,2.6551836094703507,10.0,5.0,8.0,9.0,4.0,4.0,0.37662178857735473
11.0,2.8635642126552705,10.0,5.0,6.0,17.0,19.0,-13.0,-2.4445060351935237
15.5,3.2326459750489227,14.0,10.0,5.0,10.0,0.0,5.0,1.237376449779492
15.0,4.312771730569565,16.0,6.0,10.0,24.0,19.0,-9.0,-1.854955583040673
13.0,3.255764119219941,12.0,8.0,7.0,13.0,9.0,-2.0,-0.3071475584169756
13.5,2.7658633371878665,10.0,8.0,1.0,11.0,3.0,-2.0,-0.36155076303109357
11.0,3.0659419433511785,16.0,5.0,18.0,17.0,19.0,-1.0,-0.3261640365267211
