Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
15.5,3.5,22.0,9.0,19.0,22.0,19.0,0.0,0.0
14.5,3.905124837953327,15.0,7.0,10.0,22.0,19.0,-9.0,-1.7925163190605438
18.5,2.7294688127912363,18.0,13.0,7.0,22.0,16.0,-9.0,-1.4654866108946234
14.0,2.5298221281347035,11.0,9.0,1.0,19.0,19.0,-18.0,-3.162277660168379
9.5,2.9410882339705484,10.0,4.0,10.0,15.0,19.0,-9.0,-1.7000510022951147
10.5,2.6551836094703507,12.0,6.0,13.0,15.0,18.0,-5.0,-1.129865365732064
13.0,2.1447610589527217,12.0,9.0,5.0,17.0,19.0,-14.0,-2.3312620206007844
14.5,2.247220505424423,15.0,10.0,10.0,12.0,2.0,8.0,1.3349824784699544
13.0,2.1447610589527217,16.0,9.0,16.0,17.0,19.0,-3.0,-0.4662524041201569
13.5,2.7658633371878665,11.0,8.0,3.0,16.0,14.0,-11.0,-1.807753815155468
17.0,4.0,13.0,9.0,2.0,15.0,5.0,-3.0,-0.5
14.0,2.756809750418044,18.0,9.0,17.0,17.0,16.0,1.0,0.36273812505500586
9.0,2.32379000772445,10.0,4.0,10.0,14.0,19.0,-9.0,-1.7213259316477407
17.5,3.4132096331752027,24.0,11.0,19.0,18.0,10.0,9.0,1.7578762059271429
17.0,3.0659419433511785,16.0,12.0,8.0,12.0,0.0,8.0,1.3046561461068844
15.0,3.3763886032268267,18.0,8.0,14.0,12.0,2.0,12.0,1.777046633277277
18.5,3.2326459750489227,21.0,14.0,11.0,20.0,10.0,1.0,0.309344112444873
17.5,1.8027756377319946,21.0,14.0,19.0,14.0,0.0,19.0,3.8829013735766043
12.5,3.8275318418009276,15.0,4.0,10.0,21.0,19.0,-9.0,-1.5675898328194924
12.5,3.138470965295043,11.0,7.0,4.0,16.0,16.0,-12.0,-1.5931324696929154
