Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
17.0,2.1447610589527217,8.0,19.0,13.0,15.0,21.0,19.0,-4.0,-0.9325048082403138
13.0,4.494441010848846,8.0,10.0,3.0,4.0,23.0,19.0,-15.0,-2.892462036684901
19.0,3.521363372331802,7.0,13.0,13.0,0.0,20.0,10.0,-10.0,-1.987866419864727
13.0,3.3466401061363023,6.0,9.0,7.0,2.0,19.0,18.0,-16.0,-2.988071523335984
9.0,3.0983866769659336,6.0,9.0,3.0,7.0,15.0,19.0,-12.0,-1.9364916731037083
11.0,3.0659419433511785,5.0,14.0,5.0,15.0,17.0,19.0,-4.0,-0.9784921095801632
14.0,3.7682887362833544,9.0,16.0,7.0,15.0,21.0,19.0,-4.0,-1.3268622310856881
10.5,3.930648801406709,7.0,10.0,3.0,7.0,18.0,19.0,-12.0,-2.0352874052591376
16.5,3.3541019662496847,6.0,20.0,10.0,16.0,19.0,14.0,2.0,0.29814239699997197
8.0,2.4083189157584592,6.0,8.0,4.0,9.0,12.0,18.0,-9.0,-1.6609095970747993
16.5,3.0740852297878796,7.0,15.0,12.0,4.0,21.0,16.0,-12.0,-1.9518001458970664
11.5,2.8372521918222215,4.0,11.0,6.0,7.0,13.0,13.0,-6.0,-0.7049073768502414
13.0,4.0743097574926725,9.0,14.0,6.0,12.0,20.0,18.0,-6.0,-1.472642081021448
14.5,2.1095023109728985,8.0,17.0,11.0,16.0,18.0,17.0,-1.0,-0.47404546313997725
19.0,2.1447610589527217,6.0,23.0,15.0,19.0,18.0,5.0,14.0,2.3312620206007844
19.0,1.0,8.0,19.0,17.0,7.0,21.0,19.0,-12.0,-2.0
14.5,2.9410882339705484,9.0,16.0,8.0,10.0,21.0,19.0,-9.0,-1.7000510022951147
20.0,2.4083189157584592,5.0,21.0,17.0,10.0,21.0,10.0,0.0,0.0
13.5,3.442382895611701,5.0,14.0,7.0,10.0,18.0,16.0,-6.0,-1.1619857875482535
12.5,3.5846896657869842,8.0,20.0,5.0,19.0,20.0,19.0,0.0,0.0
