Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
16.5,2.539685019840059,22.0,11.0,19.0,22.0,19.0,0.0,0.0
20.0,1.0,20.0,18.0,7.0,22.0,19.0,-12.0,-2.0
17.5,2.6172504656604803,19.0,12.0,12.0,23.0,19.0,-7.0,-1.5283214398017402
5.5,1.4317821063276353,7.0,3.0,13.0,8.0,19.0,-6.0,-0.6984302957695783
15.5,3.3241540277189325,18.0,9.0,14.0,9.0,0.0,14.0,2.7074557691828405
12.0,2.449489742783178,14.0,7.0,13.0,17.0,19.0,-6.0,-1.2247448713915892
10.0,2.8635642126552705,11.0,5.0,10.0,15.0,18.0,-8.0,-1.3968605915391565
14.5,2.6172504656604803,17.0,9.0,15.0,20.0,19.0,-4.0,-1.1462410798513052
11.5,2.9410882339705484,16.0,6.0,17.0,17.0,19.0,-2.0,-0.34001020045902297
16.5,3.774917217635375,22.0,9.0,18.0,20.0,15.0,3.0,0.5298129428260175
15.0,1.3416407864998738,17.0,13.0,17.0,17.0,17.0,0.0,0.0
17.5,2.1095023109728985,21.0,14.0,18.0,21.0,18.0,0.0,0.0
18.5,3.905124837953327,23.0,11.0,16.0,18.0,7.0,9.0,1.2803687993289599
17.0,2.4083189157584592,18.0,13.0,10.0,18.0,10.0,0.0,0.0
13.0,4.0743097574926725,18.0,6.0,16.0,20.0,18.0,-2.0,-0.490880693673816
17.5,2.1095023109728985,21.0,14.0,18.0,14.0,0.0,18.0,3.3183182419798407
19.5,2.6551836094703507,19.0,15.0,7.0,15.0,0.0,7.0,1.506487154309419
13.0,1.8439088914585775,16.0,10.0,18.0,13.0,9.0,9.0,1.6269784336399213
12.0,3.0,17.0,7.0,18.0,13.0,10.0,8.0,1.3333333333333333
19.5,2.29128784747792,22.0,15.0,16.0,21.0,13.0,3.0,0.4364357804719848
