Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
15.5,2.8372521918222215,21.0,10.0,19.0,18.0,4.0,1.057361065275362
18.5,3.3241540277189325,20.0,14.0,10.0,20.0,0.0,0.0
13.5,2.29128784747792,13.0,9.0,7.0,18.0,-12.0,-2.182178902359924
16.0,3.605551275463989,17.0,9.0,10.0,23.0,-9.0,-1.6641005886756874
11.0,2.5298221281347035,11.0,7.0,7.0,15.0,-10.0,-1.5811388300841895
13.5,3.3541019662496847,11.0,8.0,4.0,19.0,-14.0,-2.3851391759997758
11.0,2.5298221281347035,15.0,6.0,18.0,16.0,-1.0,-0.3952847075210474
14.5,1.8027756377319946,15.0,11.0,10.0,18.0,-9.0,-1.6641005886756874
17.0,1.4832396974191326,16.0,14.0,3.0,20.0,-16.0,-2.696799449852968
18.0,3.0,14.0,12.0,1.0,24.0,-18.0,-3.3333333333333335
18.5,2.9410882339705484,14.0,14.0,0.0,21.0,-13.0,-2.3800714032131607
15.0,3.3763886032268267,21.0,9.0,18.0,17.0,4.0,1.1846977555181846
17.0,3.1622776601683795,16.0,11.0,7.0,19.0,-6.0,-0.9486832980505138
14.5,3.138470965295043,13.0,9.0,5.0,20.0,-13.0,-2.2303854575700814
13.0,3.4351128074635335,20.0,6.0,19.0,20.0,0.0,0.0
16.0,1.2649110640673518,15.0,14.0,3.0,18.0,-14.0,-2.3717082451262845
10.0,2.756809750418044,12.0,4.0,12.0,16.0,-7.0,-1.4509525002200234
10.5,3.0740852297878796,4.0,4.0,0.0,17.0,-19.0,-4.228900316110311
6.5,2.3769728648009427,4.0,3.0,1.0,10.0,-18.0,-2.5242189714700274
9.5,2.5,8.0,5.0,5.0,14.0,-13.0,-2.4
