Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
16.5,2.0124611797498106,5.0,13.0,13.0,0.0,16.0,5.0,-5.0,-1.4907119849998598
11.5,3.138470965295043,5.0,11.0,5.0,8.0,14.0,14.0,-6.0,-0.9558794818157492
12.5,2.5,6.0,12.0,8.0,6.0,17.0,18.0,-12.0,-2.0
12.5,3.0413812651491097,4.0,11.0,6.0,6.0,11.0,6.0,0.0,0.0
10.0,3.255764119219941,6.0,14.0,5.0,16.0,15.0,17.0,-1.0,-0.3071475584169756
17.0,1.4832396974191326,6.0,18.0,14.0,12.0,16.0,3.0,9.0,1.348399724926484
14.0,2.6457513110645907,6.0,12.0,9.0,4.0,15.0,11.0,-7.0,-1.1338934190276817
15.0,2.792848008753788,5.0,10.0,10.0,0.0,13.0,4.0,-4.0,-1.0741723110591495
11.0,2.4083189157584592,6.0,14.0,7.0,15.0,15.0,19.0,-4.0,-0.41522739926869984
13.0,1.2649110640673518,4.0,13.0,11.0,7.0,12.0,3.0,4.0,0.7905694150420948
15.0,1.5491933384829668,5.0,17.0,13.0,14.0,15.0,6.0,8.0,1.2909944487358056
18.5,1.4317821063276353,6.0,19.0,16.0,10.0,17.0,2.0,8.0,1.3968605915391565
15.0,3.1937438845342623,4.0,14.0,9.0,6.0,14.0,6.0,0.0,0.0
8.5,2.7294688127912363,5.0,5.0,4.0,1.0,13.0,19.0,-18.0,-2.930973221789247
9.5,3.3241540277189325,6.0,8.0,3.0,4.0,16.0,19.0,-15.0,-2.4066273503847473
11.5,3.3241540277189325,6.0,14.0,5.0,13.0,18.0,19.0,-6.0,-1.2033136751923736
14.5,2.7294688127912363,6.0,19.0,10.0,18.0,17.0,15.0,3.0,0.7327433054473117
10.0,3.3466401061363023,6.0,8.0,4.0,5.0,16.0,19.0,-14.0,-2.390457218668787
12.5,3.3241540277189325,3.0,15.0,7.0,13.0,10.0,5.0,8.0,1.504142093990467
15.5,3.2326459750489227,3.0,14.0,9.0,6.0,9.0,0.0,6.0,1.546720562224365
