Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
11.5,3.138470965295043,17.0,6.0,18.0,8.0,15.0,2.867638445447248
11.0,2.8635642126552705,16.0,6.0,18.0,16.0,0.0,0.0
16.5,3.170173496829472,20.0,11.0,16.0,20.0,0.0,0.0
14.5,2.7294688127912363,18.0,10.0,17.0,14.0,8.0,1.4654866108946234
16.5,1.6881943016134133,20.0,13.0,19.0,13.0,19.0,4.146442144313646
17.5,3.3241540277189325,23.0,12.0,19.0,18.0,9.0,1.504142093990467
12.0,3.0,8.0,6.0,1.0,6.0,1.0,0.6666666666666666
15.5,3.8275318418009276,17.0,8.0,12.0,14.0,6.0,0.7837949164097462
15.0,2.569046515733026,16.0,10.0,12.0,10.0,12.0,2.335496832484569
14.0,2.280350850198276,16.0,9.0,13.0,9.0,13.0,3.069703067574602
16.5,2.0124611797498106,16.0,13.0,5.0,13.0,5.0,1.4907119849998598
12.5,3.2326459750489227,17.0,6.0,17.0,6.0,17.0,3.4027852368936027
14.0,2.8635642126552705,15.0,8.0,11.0,8.0,11.0,2.4445060351935237
14.0,2.756809750418044,15.0,9.0,12.0,9.0,12.0,2.176428750330035
13.0,3.7682887362833544,20.0,6.0,19.0,10.0,16.0,2.6537244621713763
17.0,3.4351128074635335,20.0,11.0,14.0,11.0,14.0,2.620001293828119
14.0,3.255764119219941,19.0,8.0,18.0,15.0,8.0,1.2285902336679024
15.0,4.312771730569565,18.0,6.0,14.0,6.0,14.0,2.7824333745610095
15.0,3.714835124201342,8.0,8.0,0.0,8.0,0.0,0.0
17.5,3.4132096331752027,12.0,11.0,1.0,11.0,1.0,0.2929793676545238
