Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
10.5,3.170173496829472,3.0,11.0,4.0,10.0,7.0,2.0,8.0,1.2617605957530234
9.0,2.1908902300206643,3.0,11.0,5.0,14.0,7.0,2.0,12.0,1.8257418583505538
11.5,2.3769728648009427,4.0,8.0,8.0,0.0,12.0,10.0,-10.0,-1.682812647646685
11.0,2.4083189157584592,2.0,10.0,7.0,5.0,7.0,0.0,5.0,1.2456821978060995
11.0,2.5298221281347035,4.0,9.0,6.0,3.0,13.0,14.0,-11.0,-1.5811388300841895
12.0,1.8973665961010275,4.0,14.0,9.0,13.0,11.0,7.0,6.0,1.5811388300841898
9.0,3.5496478698597698,5.0,10.0,3.0,10.0,15.0,19.0,-9.0,-1.4085904245475276
13.5,3.442382895611701,2.0,14.0,7.0,10.0,7.0,0.0,10.0,2.0334751282094436
19.0,2.6457513110645907,3.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0
11.0,3.605551275463989,5.0,14.0,3.0,13.0,19.0,19.0,-6.0,-1.386750490563073
12.0,1.8973665961010275,4.0,13.0,8.0,11.0,11.0,5.0,6.0,1.0540925533894598
14.0,3.7682887362833544,4.0,13.0,6.0,7.0,10.0,1.0,6.0,0.7961173386514129
16.5,4.006245124802026,3.0,17.0,9.0,10.0,9.0,0.0,10.0,1.9968823051972713
13.0,3.0659419433511785,4.0,14.0,8.0,10.0,15.0,13.0,-3.0,-0.3261640365267211
7.5,3.930648801406709,5.0,12.0,3.0,16.0,4.0,4.0,12.0,2.0352874052591376
15.0,3.1937438845342623,5.0,10.0,10.0,0.0,14.0,6.0,-6.0,-1.252448582170299
13.0,4.0,2.0,11.0,5.0,5.0,5.0,0.0,5.0,1.5
12.5,3.9812058474788765,2.0,13.0,5.0,10.0,5.0,0.0,10.0,2.0094414372133134
13.5,3.930648801406709,3.0,17.0,5.0,16.0,5.0,0.0,16.0,3.0529311078887065
10.0,2.5298221281347035,3.0,12.0,5.0,14.0,8.0,3.0,11.0,1.5811388300841895
