Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
18.0,2.1908902300206643,20.0,14.0,14.0,14.0,0.0,14.0,2.7386127875258306
16.0,2.0,17.0,12.0,12.0,20.0,19.0,-7.0,-1.5
11.5,3.9812058474788765,13.0,3.0,10.0,20.0,19.0,-9.0,-1.758261257561649
11.0,4.219004621945797,17.0,4.0,16.0,18.0,18.0,-2.0,-0.23702273156998863
13.0,2.6457513110645907,16.0,8.0,16.0,8.0,0.0,16.0,3.0237157840738176
11.5,3.138470965295043,13.0,5.0,12.0,14.0,14.0,-2.0,-0.3186264939385831
15.5,3.6674241641784495,14.0,8.0,6.0,18.0,14.0,-8.0,-1.0906837662984237
15.0,2.792848008753788,15.0,10.0,9.0,20.0,19.0,-10.0,-1.7902871850985822
11.5,3.4132096331752027,15.0,5.0,15.0,13.0,12.0,3.0,0.5859587353090476
13.5,2.7658633371878665,14.0,8.0,10.0,19.0,19.0,-9.0,-1.807753815155468
16.5,1.857417562100671,14.0,13.0,1.0,16.0,7.0,-6.0,-1.076763804116331
11.5,2.8372521918222215,13.0,7.0,11.0,16.0,18.0,-7.0,-1.057361065275362
13.5,4.006245124802026,14.0,5.0,10.0,22.0,19.0,-9.0,-1.9968823051972713
11.5,3.0413812651491097,10.0,6.0,6.0,17.0,19.0,-13.0,-2.301585822275002
10.0,2.1447610589527217,9.0,6.0,4.0,7.0,1.0,3.0,0.9325048082403138
9.5,2.1095023109728985,9.0,6.0,7.0,13.0,18.0,-11.0,-1.896181852559909
10.0,2.1447610589527217,7.0,6.0,1.0,11.0,11.0,-10.0,-1.8650096164806276
9.0,2.792848008753788,12.0,3.0,16.0,15.0,19.0,-3.0,-1.0741723110591495
21.5,2.3769728648009427,21.0,17.0,7.0,17.0,0.0,7.0,1.682812647646685
12.5,3.0413812651491097,18.0,7.0,18.0,18.0,18.0,0.0,0.0
