Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
13.0,3.924283374069717,16.0,5.0,14.0,5.0,14.0,2.8030595529069404
13.0,1.8439088914585775,10.0,10.0,0.0,10.0,0.0,0.0
13.5,2.539685019840059,18.0,9.0,18.0,9.0,18.0,3.54374653931171
11.5,3.5,14.0,4.0,14.0,4.0,14.0,2.857142857142857
11.5,2.3769728648009427,14.0,7.0,15.0,7.0,15.0,2.9449221333816986
18.0,3.5496478698597698,22.0,11.0,16.0,11.0,16.0,3.0988989340045605
11.5,2.7294688127912363,6.0,6.0,0.0,10.0,-5.0,-1.4654866108946234
11.5,4.129164564412516,10.0,4.0,5.0,4.0,5.0,1.4530784390894482
11.0,2.9664793948382653,15.0,6.0,16.0,7.0,15.0,2.696799449852968
14.5,3.6674241641784495,16.0,7.0,11.0,7.0,11.0,2.4540384741714534
11.5,3.2326459750489227,10.0,6.0,5.0,6.0,5.0,1.237376449779492
6.5,1.8027756377319946,7.0,3.0,10.0,3.0,10.0,2.2188007849009166
13.5,3.6124783736376886,16.0,7.0,14.0,7.0,14.0,2.491364395612199
21.0,1.7320508075688772,19.0,18.0,2.0,18.0,2.0,0.5773502691896258
12.5,3.5,11.0,5.0,6.0,5.0,6.0,1.7142857142857142
13.0,3.4351128074635335,16.0,7.0,15.0,7.0,15.0,2.620001293828119
18.0,1.7320508075688772,19.0,15.0,12.0,15.0,12.0,2.3094010767585034
10.0,4.147288270665544,17.0,3.0,19.0,4.0,18.0,3.134578344107679
16.5,3.8535697735995385,17.0,9.0,10.0,9.0,10.0,2.075997184430728
15.5,2.6172504656604803,21.0,10.0,19.0,10.0,19.0,4.202883959454786
