Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
13.0,4.242640687119285,21.0,5.0,19.0,21.0,0.0,0.0
16.0,3.4641016151377544,21.0,10.0,17.0,23.0,-2.0,-0.5773502691896258
15.0,4.123105625617661,21.0,8.0,17.0,19.0,1.0,0.48507125007266594
16.0,2.8284271247461903,19.0,12.0,14.0,17.0,4.0,0.7071067811865475
15.0,0.0,17.0,14.0,17.0,14.0,17.0,inf
12.0,3.1622776601683795,18.0,7.0,18.0,16.0,2.0,0.6324555320336759
20.0,1.0,22.0,18.0,17.0,21.0,4.0,1.0
14.0,2.6457513110645907,17.0,9.0,15.0,19.0,-4.0,-0.7559289460184544
13.0,2.6457513110645907,11.0,9.0,3.0,18.0,-15.0,-2.6457513110645903
14.0,2.449489742783178,11.0,9.0,1.0,19.0,-18.0,-3.2659863237109046
13.0,2.0,17.0,9.0,19.0,17.0,0.0,0.0
11.0,3.0,17.0,6.0,19.0,17.0,0.0,0.0
17.0,1.0,20.0,15.0,19.0,20.0,0.0,0.0
16.0,3.605551275463989,19.0,10.0,15.0,19.0,0.0,0.0
15.0,2.449489742783178,19.0,10.0,18.0,20.0,-1.0,-0.4082482904638631
17.0,2.8284271247461903,19.0,12.0,14.0,12.0,14.0,2.4748737341529163
17.0,3.7416573867739413,18.0,9.0,10.0,14.0,7.0,1.0690449676496976
11.0,3.872983346207417,16.0,5.0,16.0,12.0,6.0,1.0327955589886444
19.0,3.0,19.0,14.0,6.0,23.0,-10.0,-1.3333333333333333
16.0,2.449489742783178,16.0,12.0,9.0,16.0,0.0,0.0
