Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
19.5,2.0124611797498106,6.0,22.0,16.0,15.0,19.0,6.0,9.0,1.4907119849998598
15.0,2.32379000772445,6.0,11.0,11.0,0.0,19.0,18.0,-18.0,-3.4426518632954815
10.5,2.29128784747792,4.0,12.0,6.0,13.0,12.0,13.0,0.0,0.0
9.5,1.8027756377319946,2.0,9.0,6.0,6.0,6.0,0.0,6.0,1.6641005886756874
13.0,2.756809750418044,5.0,15.0,7.0,12.0,19.0,19.0,-7.0,-1.4509525002200234
15.0,4.171330722922842,6.0,11.0,6.0,2.0,24.0,19.0,-17.0,-3.116511459654997
15.0,4.171330722922842,7.0,19.0,6.0,16.0,24.0,19.0,-3.0,-1.1986582537134605
13.0,4.219004621945797,7.0,9.0,4.0,2.0,22.0,19.0,-17.0,-3.081295510409852
16.5,2.1563858652847827,5.0,16.0,12.0,7.0,16.0,7.0,0.0,0.0
14.5,2.8372521918222215,5.0,16.0,9.0,13.0,16.0,13.0,0.0,0.0
14.0,1.4832396974191326,3.0,12.0,11.0,1.0,11.0,0.0,1.0,0.674199862463242
7.5,1.857417562100671,5.0,8.0,4.0,10.0,11.0,19.0,-9.0,-1.6151457061744965
11.5,1.6278820596099706,3.0,10.0,8.0,1.0,8.0,0.0,1.0,1.2285902336679024
9.0,2.792848008753788,7.0,6.0,4.0,2.0,14.0,19.0,-17.0,-2.8644594961577314
16.5,3.6124783736376886,4.0,17.0,10.0,10.0,13.0,3.0,7.0,1.107273064716533
12.0,2.792848008753788,7.0,14.0,6.0,13.0,18.0,19.0,-6.0,-1.4322297480788657
15.5,1.4317821063276353,5.0,13.0,13.0,0.0,14.0,2.0,-2.0,-0.6984302957695783
10.0,3.521363372331802,6.0,10.0,3.0,7.0,17.0,19.0,-12.0,-1.987866419864727
10.0,2.1447610589527217,3.0,9.0,6.0,5.0,11.0,11.0,-6.0,-0.9325048082403138
13.5,3.930648801406709,6.0,20.0,6.0,18.0,16.0,14.0,4.0,1.0176437026295688
