Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
11.5,2.7294688127912363,6.0,9.0,6.0,3.0,17.0,19.0,-16.0,-2.930973221789247
14.5,3.7483329627982624,7.0,17.0,7.0,13.0,22.0,19.0,-6.0,-1.3339263212805204
16.5,1.5,3.0,14.0,14.0,0.0,14.0,0.0,0.0,0.0
12.5,2.1095023109728985,5.0,17.0,8.0,19.0,17.0,19.0,0.0,0.0
16.5,2.539685019840059,4.0,17.0,12.0,10.0,12.0,0.0,10.0,1.9687480773953945
16.5,3.263433774416144,4.0,18.0,11.0,12.0,16.0,8.0,4.0,0.6128514130358955
12.0,3.3763886032268267,5.0,15.0,5.0,14.0,15.0,14.0,0.0,0.0
17.5,1.2041594578792296,3.0,18.0,15.0,10.0,15.0,0.0,10.0,2.491364395612199
17.5,1.9621416870348585,4.0,15.0,14.0,1.0,14.0,0.0,1.0,0.5096471914376255
13.5,2.29128784747792,3.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0
10.5,2.1563858652847827,7.0,11.0,7.0,10.0,14.0,17.0,-7.0,-1.3912166872805047
12.0,3.9496835316262997,7.0,14.0,5.0,14.0,19.0,19.0,-5.0,-1.2659242088545832
14.5,4.201190307520001,5.0,18.0,6.0,14.0,18.0,14.0,0.0,0.0
11.5,2.247220505424423,4.0,12.0,7.0,10.0,9.0,2.0,8.0,1.3349824784699544
12.0,2.04939015319192,8.0,15.0,9.0,17.0,15.0,17.0,0.0,0.0
8.5,2.3769728648009427,2.0,4.0,4.0,0.0,6.0,2.0,-2.0,-0.8414063238233425
9.0,3.5496478698597698,5.0,15.0,3.0,19.0,15.0,19.0,0.0,0.0
16.5,3.8535697735995385,2.0,10.0,9.0,1.0,9.0,0.0,1.0,0.259499648053841
15.0,3.0983866769659336,8.0,21.0,9.0,19.0,21.0,19.0,0.0,0.0
17.0,1.4832396974191326,2.0,14.0,14.0,0.0,14.0,0.0,0.0,0.0
