Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
13.0,3.0435436410107286,17.0,7.0,17.0,19.0,-2.0,-0.6571287406727709
11.0,2.9379548919900764,7.0,6.0,2.0,16.0,-16.0,-3.0633554056725796
6.0,1.1239029738980326,6.0,4.0,6.0,8.0,-12.0,-1.7795130420052188
11.5,3.2200032690405114,14.0,5.0,14.0,18.0,-5.0,-1.2422347636907556
13.5,2.064741604835056,16.0,10.0,15.0,17.0,-4.0,-0.4843221048378526
14.0,2.3395906074624073,11.0,10.0,2.0,10.0,2.0,0.42742520713255516
11.0,2.5955427380922007,15.0,7.0,17.0,15.0,0.0,0.0
14.0,3.244428422615251,14.0,8.0,9.0,20.0,-10.0,-1.849324200890693
6.5,2.305599590927317,6.0,3.0,4.0,10.0,-12.0,-1.7349066228760008
13.5,2.724160904127902,13.0,9.0,7.0,18.0,-11.0,-1.835427559518799
7.5,2.064741604835056,5.0,4.0,2.0,11.0,-16.0,-2.9059326290271157
8.0,2.3395906074624073,11.0,4.0,17.0,12.0,-2.0,-0.42742520713255516
14.5,1.8496087779795347,13.0,12.0,3.0,17.0,-14.0,-2.1626194942529944
15.0,3.8113404189961417,13.0,8.0,5.0,22.0,-14.0,-2.3613739552476094
12.5,3.4105100714362977,11.0,7.0,7.0,18.0,-12.0,-2.052478911769356
20.0,3.7836212117076693,27.0,13.0,19.0,25.0,3.0,0.5285941398709243
19.5,2.2124052165246,21.0,15.0,13.0,24.0,-6.0,-1.3559902939989488
17.5,3.4105100714362977,15.0,12.0,5.0,23.0,-14.0,-2.3456901848792637
19.5,3.531810330485814,17.0,15.0,6.0,22.0,-5.0,-1.4157045628529636
14.0,2.8284271247461903,12.0,9.0,4.0,19.0,-15.0,-2.4748737341529163
