Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
8.5,3.120391338480345,9.0,3.0,10.0,14.0,-9.0,-1.602363119760177
15.0,3.276712087636501,18.0,9.0,15.0,21.0,-4.0,-0.9155519068396106
20.0,1.7167901505579042,18.0,17.0,1.0,19.0,-4.0,-0.5824823725107175
11.5,3.120391338480345,8.0,5.0,1.0,18.0,-18.0,-3.204726239520354
14.0,4.026229789243216,15.0,7.0,10.0,21.0,-8.0,-1.4902279090056059
13.5,4.0327605798927415,15.0,6.0,12.0,16.0,-2.0,-0.2479690971455084
10.0,3.7836212117076693,16.0,4.0,19.0,16.0,0.0,0.0
16.5,2.724160904127902,21.0,12.0,18.0,12.0,18.0,3.3037696071338383
18.0,1.1239029738980326,19.0,16.0,14.0,20.0,-4.0,-0.8897565210026094
20.0,3.4335803011158084,18.0,14.0,5.0,14.0,5.0,1.164964745021435
12.5,3.5909242322980393,5.0,5.0,0.0,20.0,-19.0,-4.177197576346699
9.0,2.635786110641877,5.0,4.0,1.0,14.0,-18.0,-3.4145410978769766
7.5,1.9056702094980709,9.0,4.0,13.0,11.0,-6.0,-1.0494995356656043
12.0,3.8113404189961417,15.0,4.0,13.0,14.0,1.0,0.26237488391640107
14.0,3.4335803011158084,17.0,8.0,15.0,12.0,10.0,1.4562059312767939
13.0,3.244428422615251,11.0,7.0,4.0,19.0,-15.0,-2.4657656011875906
16.0,3.1455900626281967,15.0,10.0,6.0,22.0,-13.0,-2.225337650689097
11.0,2.8284271247461903,14.0,5.0,17.0,5.0,17.0,3.181980515339464
7.5,1.7320508075688772,5.0,5.0,0.0,10.0,-17.0,-2.886751345948129
14.5,2.305599590927317,17.0,10.0,15.0,19.0,-4.0,-0.8674533114380004
