Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
12.5,2.438722702779599,13.0,8.0,10.0,12.0,3.0,0.41005071993639275
11.5,3.2200032690405114,14.0,5.0,14.0,5.0,14.0,2.7950282183042
13.0,3.244428422615251,14.0,7.0,11.0,11.0,7.0,0.9246621004453465
13.0,3.6992175559590694,9.0,6.0,2.0,10.0,-2.0,-0.2703274367816243
10.0,2.8284271247461903,13.0,4.0,17.0,12.0,5.0,0.35355339059327373
9.0,2.3841582427170787,6.0,4.0,1.0,4.0,1.0,0.8388704928078612
9.5,3.3166247903554,15.0,4.0,19.0,6.0,17.0,2.7136021011998728
16.5,3.953679165962815,19.0,8.0,11.0,8.0,11.0,2.7822186723442033
14.5,2.564945880212885,12.0,10.0,2.0,10.0,2.0,0.7797435475847172
13.0,3.1455900626281967,10.0,7.0,2.0,7.0,2.0,0.9537161360096129
11.5,2.6852423197524415,12.0,7.0,10.0,8.0,8.0,1.4896234766509895
14.0,3.7836212117076693,16.0,6.0,11.0,6.0,11.0,2.642970699354622
13.0,3.1455900626281967,15.0,8.0,12.0,8.0,12.0,2.225337650689097
18.5,3.3166247903554,18.0,12.0,8.0,12.0,8.0,1.8090680674665818
16.0,3.244428422615251,13.0,10.0,3.0,10.0,3.0,0.9246621004453465
17.5,3.4105100714362977,21.0,12.0,15.0,12.0,15.0,2.6389014579891716
14.5,3.120391338480345,14.0,9.0,8.0,9.0,8.0,1.602363119760177
12.0,4.052289801035823,12.0,4.0,8.0,8.0,6.0,0.9870962335856491
15.5,4.1612245161351495,17.0,7.0,10.0,7.0,10.0,2.403138778315132
15.5,4.084631014708157,15.0,9.0,4.0,9.0,4.0,1.4689209327341637
