Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
9.5,3.6674241641784495,6.0,4.0,3.0,15.0,19.0,-16.0,-2.4540384741714534
10.0,2.8635642126552705,9.0,5.0,5.0,15.0,18.0,-13.0,-2.095290887308735
10.0,1.8439088914585775,13.0,7.0,17.0,13.0,17.0,0.0,0.0
14.0,3.3466401061363023,8.0,8.0,0.0,17.0,15.0,-15.0,-2.689264371002386
7.0,2.8635642126552705,11.0,3.0,19.0,5.0,7.0,12.0,2.095290887308735
11.0,3.0659419433511785,11.0,6.0,9.0,11.0,9.0,0.0,0.0
17.5,3.6674241641784495,18.0,10.0,10.0,21.0,15.0,-5.0,-0.8180128247238178
11.5,3.4132096331752027,14.0,4.0,12.0,14.0,12.0,0.0,0.0
18.5,0.9219544457292888,19.0,17.0,10.0,17.0,0.0,10.0,2.1693045781865616
22.5,1.02469507659596,21.0,21.0,0.0,21.0,0.0,0.0,0.0
16.0,3.7682887362833544,19.0,8.0,14.0,24.0,19.0,-5.0,-1.3268622310856881
13.0,3.1622776601683795,10.0,7.0,3.0,19.0,19.0,-16.0,-2.846049894151541
13.5,2.29128784747792,14.0,10.0,10.0,14.0,10.0,0.0,0.0
14.0,3.3466401061363023,20.0,8.0,19.0,15.0,11.0,8.0,1.494035761667992
17.5,2.3769728648009427,17.0,13.0,7.0,13.0,0.0,7.0,1.682812647646685
17.5,3.0413812651491097,15.0,11.0,3.0,24.0,19.0,-16.0,-2.9591817714964312
12.5,2.1095023109728985,14.0,8.0,12.0,17.0,19.0,-7.0,-1.4221363894199317
18.0,2.569046515733026,17.0,13.0,5.0,17.0,5.0,0.0,0.0
16.5,3.52845575287547,16.0,10.0,7.0,16.0,7.0,0.0,0.0
16.0,3.605551275463989,11.0,9.0,1.0,19.0,14.0,-13.0,-2.2188007849009166
