Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
13.0,4.219004621945797,22.0,4.0,19.0,22.0,0.0,0.0
22.0,1.6733200530681511,25.0,19.0,18.0,19.0,18.0,3.585685828003181
18.5,3.3241540277189325,25.0,12.0,19.0,25.0,0.0,0.0
10.0,3.1622776601683795,14.0,4.0,16.0,16.0,-3.0,-0.6324555320336759
15.0,3.3763886032268267,13.0,9.0,5.0,17.0,-8.0,-1.1846977555181846
17.0,4.0,25.0,9.0,19.0,21.0,4.0,1.0
11.5,3.138470965295043,11.0,5.0,8.0,18.0,-11.0,-2.2303854575700814
10.0,2.0,13.0,6.0,18.0,14.0,-1.0,-0.5
12.5,2.6172504656604803,17.0,8.0,18.0,17.0,0.0,0.0
15.5,2.1095023109728985,18.0,11.0,17.0,20.0,-2.0,-0.9480909262799545
15.5,3.0413812651491097,21.0,10.0,19.0,21.0,0.0,0.0
12.0,2.1908902300206643,8.0,8.0,0.0,16.0,-19.0,-3.6514837167011076
14.5,2.9410882339705484,15.0,9.0,10.0,18.0,-6.0,-1.0200306013770688
13.0,3.605551275463989,13.0,6.0,8.0,20.0,-11.0,-1.9414506867883021
15.5,3.4132096331752027,19.0,9.0,16.0,22.0,-3.0,-0.8789381029635714
12.0,2.792848008753788,18.0,6.0,19.0,18.0,0.0,0.0
18.0,2.6832815729997477,22.0,14.0,17.0,21.0,1.0,0.37267799624996495
15.0,4.171330722922842,24.0,6.0,19.0,24.0,0.0,0.0
18.0,3.4641016151377544,20.0,12.0,15.0,22.0,-1.0,-0.5773502691896258
14.5,2.6172504656604803,17.0,10.0,16.0,19.0,-2.0,-0.7641607199008701
