Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
7.0,2.0,11.0,3.0,19.0,11.0,0.0,0.0
11.0,2.1447610589527217,7.0,7.0,0.0,15.0,-19.0,-3.730019232961255
16.0,3.521363372331802,22.0,10.0,18.0,19.0,3.0,0.8519427513705972
14.5,2.7294688127912363,17.0,10.0,13.0,19.0,-6.0,-0.7327433054473117
15.5,3.138470965295043,15.0,10.0,8.0,10.0,8.0,1.5931324696929154
17.0,2.6457513110645907,16.0,12.0,6.0,18.0,-5.0,-0.7559289460184544
15.0,2.32379000772445,16.0,11.0,10.0,19.0,-8.0,-1.2909944487358056
18.0,1.5491933384829668,19.0,15.0,13.0,21.0,-6.0,-1.2909944487358056
9.5,1.6278820596099706,7.0,7.0,0.0,12.0,-17.0,-3.071475584169756
12.0,2.898275349237888,11.0,7.0,7.0,17.0,-12.0,-2.0701966780270626
13.5,2.9748949561287032,13.0,8.0,6.0,19.0,-13.0,-2.0168779363584433
10.0,2.5298221281347035,14.0,5.0,18.0,15.0,-1.0,-0.3952847075210474
9.5,2.8372521918222215,13.0,4.0,16.0,15.0,-3.0,-0.7049073768502414
9.0,1.8973665961010275,11.0,5.0,15.0,5.0,15.0,3.1622776601683795
17.0,3.255764119219941,12.0,12.0,0.0,12.0,0.0,0.0
15.0,3.1937438845342623,14.0,9.0,6.0,18.0,-9.0,-1.252448582170299
14.0,3.4351128074635335,15.0,7.0,11.0,7.0,11.0,2.328890038958328
12.0,3.0983866769659336,18.0,6.0,19.0,18.0,0.0,0.0
17.0,3.605551275463989,24.0,10.0,19.0,20.0,5.0,1.1094003924504583
12.5,3.5846896657869842,17.0,5.0,17.0,20.0,-2.0,-0.836892528977506
