Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
14.5,2.617250466,4,16,11,10,12,3,7,1.52832144
10.5,4.364630569,6,9,3,4,18,19,-15,-2.06203019
10,3.16227766,6,14,4,16,16,19,-3,-0.632455532
10.5,3.442382896,2,13,3,13,3,0,13,2.904964469
11.5,2.837252192,2,17,6,19,6,0,19,3.876990573
18,3.098386677,5,16,12,5,17,7,-2,-0.322748612
9.5,2.941088234,2,10,4,10,4,0,10,2.040061203
13.5,3.853569774,6,11,6,3,16,12,-9,-1.29749824
15.5,2.5,7,18,12,14,19,17,-3,-0.4
10.5,2.974894956,4,13,6,13,10,9,4,1.008438968
15,3.54964787,7,14,8,7,22,19,-12,-2.253744679
16.5,2.291287847,2,14,13,2,13,0,2,0.43643578
19.5,2.291287847,7,23,16,18,22,15,3,0.43643578
20,3.605551275,3,22,14,15,14,0,15,2.218800785
15,3.193743885,8,17,8,11,22,19,-8,-1.565560728
15,3.286335345,1,20,9,17,9,0,17,3.347193407
21,1.732050808,4,24,18,18,18,0,18,3.464101615
14.5,3.5,4,12,8,4,12,4,0,0
14,3.065941943,5,13,8,6,16,14,-8,-0.97849211
14,3.065941943,5,13,8,6,16,14,-8,-0.97849211
