Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
12.0,1.5491933384829668,11.0,9.0,4.0,15.0,-15.0,-2.581988897471611
16.5,2.539685019840059,20.0,12.0,17.0,12.0,17.0,3.149996923832631
12.5,3.8275318418009276,15.0,5.0,13.0,20.0,-6.0,-1.3063248606829103
15.0,3.0,11.0,10.0,2.0,10.0,2.0,0.3333333333333333
11.0,2.8635642126552705,12.0,6.0,12.0,8.0,9.0,1.3968605915391565
16.5,2.29128784747792,19.0,12.0,16.0,18.0,3.0,0.4364357804719848
15.5,3.2326459750489227,18.0,10.0,15.0,10.0,15.0,2.474752899558984
11.5,2.7294688127912363,11.0,7.0,7.0,9.0,4.0,0.7327433054473117
15.5,3.3241540277189325,13.0,9.0,4.0,15.0,-3.0,-0.6016568375961868
11.0,3.255764119219941,13.0,4.0,12.0,18.0,-7.0,-1.535737792084878
13.5,3.6945906403822333,14.0,6.0,10.0,11.0,6.0,0.8119979429411501
15.0,4.171330722922842,24.0,6.0,19.0,24.0,0.0,0.0
15.0,3.3763886032268267,14.0,9.0,7.0,17.0,-6.0,-0.8885233166386385
19.5,2.7658633371878665,17.0,14.0,2.0,17.0,0.0,0.0
12.5,2.5,12.0,8.0,7.0,17.0,-12.0,-2.0
17.5,2.6172504656604803,19.0,12.0,12.0,12.0,12.0,2.6745625196530454
14.5,2.9410882339705484,18.0,9.0,16.0,9.0,16.0,3.060091804131207
18.5,3.2326459750489227,16.0,14.0,5.0,20.0,-5.0,-1.237376449779492
8.5,1.8027756377319946,10.0,5.0,14.0,12.0,-5.0,-1.1094003924504583
8.5,1.8027756377319946,6.0,5.0,1.0,12.0,-18.0,-3.328201177351375
