Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
14.5,2.9410882339705484,18.0,9.0,16.0,20.0,19.0,-3.0,-0.6800204009180459
16.0,4.2895221179054435,21.0,8.0,16.0,21.0,16.0,0.0,0.0
13.5,4.006245124802026,19.0,6.0,17.0,15.0,13.0,4.0,0.9984411525986356
10.0,2.0,8.0,6.0,2.0,14.0,19.0,-17.0,-3.0
10.0,1.4832396974191326,12.0,7.0,17.0,13.0,19.0,-2.0,-0.674199862463242
15.0,3.4641016151377544,9.0,9.0,0.0,21.0,18.0,-18.0,-3.464101615137755
12.0,3.872983346207417,11.0,5.0,4.0,19.0,19.0,-15.0,-2.065591117977289
13.0,1.8439088914585775,14.0,10.0,11.0,16.0,18.0,-7.0,-1.0846522890932808
14.0,2.0,18.0,10.0,19.0,12.0,2.0,17.0,3.0
16.5,1.5,17.0,14.0,10.0,19.0,17.0,-7.0,-1.3333333333333333
18.5,2.3769728648009427,18.0,15.0,6.0,19.0,10.0,-4.0,-0.42070316191167123
21.0,1.3416407864998738,23.0,19.0,17.0,21.0,9.0,8.0,1.4907119849998598
15.5,2.8372521918222215,15.0,10.0,7.0,21.0,19.0,-12.0,-2.114722130550724
11.0,2.280350850198276,7.0,7.0,0.0,15.0,18.0,-18.0,-3.508232077228117
11.5,3.7483329627982624,10.0,4.0,5.0,19.0,19.0,-14.0,-2.4010673783049366
14.5,4.341658669218482,5.0,5.0,0.0,24.0,19.0,-19.0,-4.376207677196348
5.5,1.9621416870348585,7.0,3.0,10.0,8.0,16.0,-6.0,-0.5096471914376255
15.5,3.0413812651491097,16.0,10.0,10.0,15.0,8.0,2.0,0.3287979746107146
7.5,2.4186773244895647,4.0,3.0,1.0,12.0,19.0,-18.0,-3.3075929223788925
17.0,3.687817782917155,22.0,10.0,16.0,24.0,19.0,-3.0,-0.5423261445466404
