Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
14.5,2.1095023109728985,5.0,12.0,11.0,2.0,14.0,7.0,-5.0,-0.9480909262799545
9.5,2.1095023109728985,4.0,8.0,5.0,3.0,14.0,19.0,-16.0,-2.8442727788398634
12.5,3.905124837953327,4.0,16.0,4.0,15.0,15.0,12.0,3.0,0.25607375986579195
16.5,2.9748949561287032,4.0,19.0,12.0,13.0,17.0,10.0,3.0,0.6722926454528143
14.5,4.05585995813465,6.0,20.0,6.0,18.0,23.0,19.0,-1.0,-0.7396705090823068
12.5,3.3241540277189325,3.0,12.0,7.0,8.0,10.0,5.0,3.0,0.6016568375961868
13.0,4.358898943540674,6.0,18.0,4.0,16.0,22.0,19.0,-3.0,-0.917662935482247
16.0,2.0,5.0,18.0,12.0,15.0,15.0,5.0,10.0,1.5
10.0,2.8635642126552705,2.0,9.0,5.0,5.0,5.0,0.0,5.0,1.3968605915391565
11.0,2.4083189157584592,3.0,11.0,6.0,9.0,10.0,6.0,3.0,0.41522739926869984
20.0,2.9664793948382653,6.0,18.0,16.0,6.0,21.0,10.0,-4.0,-1.0112997936948631
15.0,4.312771730569565,6.0,9.0,6.0,1.0,19.0,16.0,-15.0,-2.318694478800841
10.5,3.8535697735995385,4.0,11.0,4.0,10.0,5.0,2.0,8.0,1.556997888323046
12.0,4.024922359499621,4.0,11.0,5.0,5.0,7.0,2.0,3.0,0.9938079899999066
11.0,2.1447610589527217,7.0,10.0,7.0,5.0,15.0,19.0,-14.0,-2.3312620206007844
15.0,3.3763886032268267,6.0,18.0,8.0,14.0,22.0,19.0,-5.0,-1.1846977555181846
18.0,2.449489742783178,6.0,19.0,14.0,12.0,19.0,12.0,0.0,0.0
12.5,2.7294688127912363,1.0,12.0,8.0,7.0,8.0,0.0,7.0,1.4654866108946234
12.0,3.0983866769659336,3.0,9.0,6.0,3.0,6.0,0.0,3.0,0.9682458365518541
9.5,2.6172504656604803,4.0,7.0,5.0,3.0,9.0,8.0,-5.0,-0.7641607199008701
