Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
12.0,3.0983866769659336,18.0,6.0,19.0,18.0,0.0,0.0
11.5,3.138470965295043,16.0,5.0,18.0,14.0,4.0,0.6372529878771662
13.0,3.605551275463989,10.0,6.0,3.0,16.0,-11.0,-1.6641005886756874
13.5,2.4186773244895647,16.0,9.0,13.0,18.0,-6.0,-0.8268982305947231
11.0,2.6457513110645907,15.0,6.0,18.0,12.0,7.0,1.1338934190276817
10.5,2.9748949561287032,13.0,6.0,13.0,15.0,-5.0,-0.6722926454528143
8.0,2.4083189157584592,9.0,4.0,11.0,8.0,2.0,0.41522739926869984
12.5,3.7483329627982624,14.0,6.0,14.0,14.0,0.0,0.0
15.5,2.8372521918222215,20.0,10.0,18.0,10.0,18.0,3.524536884251207
12.0,3.3763886032268267,11.0,5.0,6.0,19.0,-13.0,-2.369395511036369
16.5,4.4328320518603,14.0,7.0,5.0,26.0,-14.0,-2.707073008769649
13.0,2.8635642126552705,15.0,8.0,14.0,18.0,-4.0,-1.0476454436543674
14.5,3.905124837953327,18.0,7.0,15.0,17.0,1.0,0.25607375986579195
17.0,3.4351128074635335,18.0,11.0,10.0,16.0,2.0,0.582222509739582
15.5,3.8275318418009276,23.0,8.0,19.0,19.0,3.0,1.0450598885463283
16.0,2.280350850198276,17.0,12.0,14.0,12.0,14.0,2.192645048267573
19.0,2.8635642126552705,22.0,15.0,14.0,20.0,4.0,0.6984302957695783
14.0,3.1622776601683795,13.0,9.0,6.0,14.0,-2.0,-0.31622776601683794
15.0,3.286335345030997,20.0,9.0,17.0,21.0,-2.0,-0.30429030972509225
12.0,3.63318042491699,9.0,4.0,2.0,4.0,2.0,1.3762047064079508
