Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
15.0,3.4641016151377544,14.0,9.0,6.0,17.0,-8.0,-0.8660254037844387
16.0,3.5243513774280433,19.0,9.0,15.0,13.0,12.0,1.702440919605072
15.0,3.4641016151377544,14.0,9.0,7.0,9.0,7.0,1.4433756729740645
15.5,3.3166247903554,13.0,9.0,4.0,17.0,-8.0,-1.2060453783110545
12.5,2.438722702779599,11.0,8.0,5.0,12.0,-2.0,-0.41005071993639275
17.0,3.1455900626281967,14.0,12.0,3.0,18.0,-7.0,-1.2716215146794838
10.0,4.026229789243216,9.0,3.0,7.0,9.0,0.0,0.0
11.5,3.120391338480345,16.0,6.0,18.0,9.0,14.0,2.243308367664248
11.5,2.564945880212885,15.0,7.0,17.0,16.0,-2.0,-0.3898717737923586
11.5,3.677813996040812,7.0,5.0,1.0,8.0,-2.0,-0.27190064562169425
12.0,3.178877656956105,12.0,7.0,7.0,12.0,0.0,0.0
14.5,2.564945880212885,16.0,9.0,10.0,16.0,0.0,0.0
15.5,1.8496087779795347,13.0,12.0,1.0,15.0,-5.0,-1.0813097471264972
11.5,2.564945880212885,14.0,7.0,15.0,7.0,15.0,2.72910241654651
12.5,2.6852423197524415,15.0,7.0,13.0,12.0,6.0,1.117217607488242
13.5,3.153944898227081,16.0,7.0,13.0,7.0,13.0,2.8535691936340255
14.5,3.7626978003610794,16.0,7.0,11.0,12.0,6.0,1.0630670365332417
16.5,2.6056618514708556,16.0,12.0,7.0,12.0,7.0,1.535118610168876
14.0,2.8284271247461903,12.0,8.0,3.0,16.0,-9.0,-1.414213562373095
9.0,2.2478059477960652,5.0,5.0,0.0,7.0,-2.0,-0.8897565210026094
