Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
8.0,2.051956704170308,4.0,4.0,0.0,12.0,-19.0,-3.8987177379235862
10.0,3.244428422615251,11.0,4.0,12.0,16.0,-7.0,-1.541103500742244
13.5,3.052177824715364,10.0,8.0,2.0,15.0,-10.0,-1.6381745386890372
7.0,2.200478416880723,7.0,3.0,7.0,7.0,0.0,0.0
13.5,1.3178930553209385,15.0,11.0,15.0,11.0,15.0,3.0351476425573125
18.5,2.8003759146153744,21.0,13.0,15.0,13.0,15.0,2.856759322292194
19.0,1.8918106058538346,22.0,16.0,18.0,16.0,18.0,3.171564839225546
21.0,2.8654015976455156,19.0,16.0,5.0,16.0,5.0,1.0469736606781692
15.5,4.310330308505492,16.0,7.0,10.0,19.0,-4.0,-0.6960023444328983
11.0,3.1455900626281967,8.0,5.0,2.0,13.0,-12.0,-1.5895268933493547
14.0,2.8284271247461903,19.0,9.0,19.0,13.0,12.0,2.1213203435596424
16.5,2.8377159087807518,11.0,11.0,0.0,16.0,-7.0,-1.7619804662364147
17.5,2.438722702779599,19.0,13.0,12.0,13.0,12.0,2.4603043196183565
15.5,1.670171752907624,15.0,12.0,7.0,12.0,7.0,1.7962224512402754
13.0,4.026229789243216,14.0,5.0,10.0,9.0,8.0,1.241856590838005
13.0,3.8661826678330438,11.0,6.0,5.0,15.0,-7.0,-1.034612263222927
12.5,3.120391338480345,10.0,7.0,3.0,14.0,-8.0,-1.2818904958081416
8.5,2.6852423197524415,8.0,4.0,5.0,13.0,-13.0,-1.862029345813737
7.5,2.3508117299081364,4.0,4.0,0.0,11.0,-18.0,-2.9776948578836393
11.0,1.5217718205053643,13.0,8.0,17.0,12.0,5.0,0.6571287406727709
