Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
10.5,2.9748949561287032,13.0,4.0,14.0,8.0,12.0,1.6807316136320358
15.0,3.0,17.0,10.0,13.0,10.0,13.0,2.3333333333333335
12.5,2.7294688127912363,17.0,8.0,17.0,12.0,10.0,1.8318582636182792
15.5,2.3769728648009427,17.0,11.0,13.0,11.0,13.0,2.5242189714700274
17.0,2.6457513110645907,15.0,12.0,4.0,12.0,4.0,1.1338934190276817
13.5,3.0740852297878796,19.0,8.0,18.0,8.0,18.0,3.578300267477955
13.0,4.219004621945797,16.0,5.0,15.0,5.0,15.0,2.6072500472698747
13.5,2.8722813232690143,11.0,8.0,3.0,8.0,3.0,1.044465935734187
16.5,2.0124611797498106,19.0,13.0,16.0,13.0,16.0,2.9814239699997196
17.0,2.1447610589527217,17.0,13.0,7.0,13.0,7.0,1.8650096164806276
12.5,3.9812058474788765,13.0,5.0,10.0,8.0,8.0,1.2559008982583206
12.5,4.341658669218482,14.0,4.0,12.0,7.0,10.0,1.6122870389670754
16.0,4.560701700396552,20.0,6.0,15.0,6.0,15.0,3.069703067574602
12.0,3.1937438845342623,19.0,5.0,19.0,5.0,19.0,4.383570037596047
17.0,2.9664793948382653,13.0,11.0,1.0,11.0,1.0,0.674199862463242
10.5,2.1563858652847827,10.0,7.0,7.0,7.0,7.0,1.3912166872805047
11.5,3.3241540277189325,9.0,5.0,4.0,5.0,4.0,1.2033136751923736
14.5,2.5,11.0,11.0,0.0,11.0,0.0,0.0
15.5,3.4132096331752027,17.0,9.0,11.0,14.0,6.0,0.8789381029635714
17.5,3.4132096331752027,24.0,11.0,19.0,11.0,19.0,3.8087317795088094
