Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
13.0,3.7682887362833544,17.0,5.0,17.0,21.0,-2.0,-1.0614897848685505
15.0,3.5496478698597698,11.0,8.0,2.0,22.0,-17.0,-3.0988989340045605
17.5,1.6278820596099706,16.0,14.0,1.0,21.0,-18.0,-3.071475584169756
12.0,2.32379000772445,10.0,7.0,2.0,17.0,-17.0,-3.0123203803835463
13.0,3.0659419433511785,7.0,7.0,0.0,19.0,-19.0,-3.9139684383206528
9.5,2.8372521918222215,5.0,4.0,1.0,15.0,-18.0,-3.524536884251207
8.5,2.7294688127912363,7.0,3.0,4.0,14.0,-15.0,-2.564601569065591
7.0,1.6733200530681511,4.0,4.0,0.0,10.0,-18.0,-3.585685828003181
9.0,3.3763886032268267,9.0,3.0,7.0,15.0,-12.0,-1.777046633277277
14.0,3.1622776601683795,15.0,8.0,11.0,20.0,-8.0,-1.5811388300841895
15.5,1.6278820596099706,16.0,13.0,10.0,18.0,-7.0,-1.2285902336679024
14.0,4.0,11.0,6.0,4.0,22.0,-15.0,-2.75
11.5,4.05585995813465,4.0,4.0,0.0,19.0,-19.0,-3.698352545411534
9.0,2.1908902300206643,9.0,5.0,8.0,13.0,-11.0,-1.8257418583505538
12.0,3.3763886032268267,17.0,7.0,17.0,17.0,0.0,0.0
9.5,3.3241540277189325,9.0,3.0,7.0,16.0,-12.0,-2.1057989315866537
16.0,2.6457513110645907,18.0,11.0,14.0,21.0,-5.0,-1.1338934190276817
16.0,2.8635642126552705,19.0,11.0,13.0,21.0,-6.0,-0.6984302957695783
16.0,1.8439088914585775,17.0,13.0,10.0,19.0,-7.0,-1.0846522890932808
11.0,3.687817782917155,7.0,3.0,1.0,19.0,-18.0,-3.2539568672798427
