Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
14.5,3.2326459750489227,11.0,9.0,3.0,15.0,-7.0,-1.237376449779492
14.0,2.756809750418044,16.0,9.0,13.0,13.0,6.0,1.0882143751650175
14.0,1.2649110640673518,12.0,12.0,0.0,12.0,0.0,0.0
11.5,3.2326459750489227,17.0,6.0,18.0,17.0,0.0,0.0
16.0,3.924283374069717,20.0,9.0,16.0,20.0,0.0,0.0
11.5,2.8372521918222215,15.0,6.0,16.0,6.0,16.0,3.172083195826086
16.5,2.0124611797498106,13.0,13.0,0.0,19.0,-16.0,-2.9814239699997196
12.5,3.5846896657869842,11.0,5.0,6.0,5.0,6.0,1.673785057955012
14.5,4.129164564412516,18.0,6.0,16.0,18.0,0.0,0.0
12.5,3.3241540277189325,16.0,6.0,16.0,16.0,0.0,0.0
12.0,3.0983866769659336,12.0,7.0,7.0,9.0,4.0,0.9682458365518541
13.0,2.4083189157584592,15.0,8.0,14.0,18.0,-5.0,-1.2456821978060995
10.0,2.9664793948382653,11.0,4.0,12.0,11.0,0.0,0.0
12.5,2.247220505424423,11.0,8.0,5.0,17.0,-14.0,-2.669964956939909
10.0,2.280350850198276,14.0,6.0,18.0,14.0,0.0,0.0
15.5,2.3769728648009427,16.0,11.0,10.0,13.0,7.0,1.2621094857350137
16.0,2.0,17.0,12.0,12.0,12.0,12.0,2.5
17.5,2.1095023109728985,21.0,14.0,18.0,17.0,11.0,1.896181852559909
20.0,1.0,19.0,18.0,1.0,18.0,1.0,1.0
16.0,2.9664793948382653,14.0,11.0,4.0,11.0,4.0,1.0112997936948631
