Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
11.0,3.255764119219941,7.0,5.0,5.0,0.0,17.0,19.0,-19.0,-3.6857707010037073
16.0,3.7682887362833544,5.0,19.0,8.0,14.0,13.0,3.0,11.0,1.5922346773028258
13.5,3.6124783736376886,4.0,7.0,7.0,0.0,10.0,3.0,-3.0,-0.8304547985373997
11.5,3.6674241641784495,4.0,9.0,5.0,5.0,12.0,10.0,-5.0,-0.8180128247238178
11.5,3.5846896657869842,7.0,12.0,4.0,10.0,19.0,19.0,-9.0,-1.9527492342808472
15.5,2.8372521918222215,3.0,12.0,11.0,1.0,11.0,0.0,1.0,0.3524536884251207
13.5,3.3541019662496847,7.0,10.0,7.0,2.0,20.0,19.0,-17.0,-2.9814239699997196
8.5,2.3769728648009427,3.0,8.0,4.0,7.0,9.0,10.0,-3.0,-0.42070316191167123
8.0,2.8635642126552705,8.0,13.0,3.0,19.0,13.0,19.0,0.0,0.0
13.0,2.0,6.0,13.0,9.0,7.0,17.0,19.0,-12.0,-2.0
8.5,3.0413812651491097,3.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0
9.0,2.04939015319192,4.0,6.0,5.0,1.0,11.0,16.0,-15.0,-2.439750182371333
14.5,3.3241540277189325,4.0,15.0,8.0,10.0,14.0,7.0,3.0,0.3008284187980934
14.5,3.3241540277189325,3.0,19.0,8.0,16.0,8.0,0.0,16.0,3.3091126067790273
15.0,4.024922359499621,5.0,20.0,7.0,16.0,20.0,16.0,0.0,0.0
14.0,3.847076812334269,2.0,10.0,7.0,3.0,7.0,0.0,3.0,0.7798128673650545
11.5,3.0413812651491097,5.0,9.0,5.0,3.0,18.0,19.0,-16.0,-2.9591817714964312
12.5,2.7294688127912363,5.0,16.0,7.0,16.0,16.0,16.0,0.0,0.0
14.5,2.3769728648009427,4.0,12.0,10.0,2.0,12.0,2.0,0.0,0.0
14.0,2.0,5.0,13.0,10.0,5.0,15.0,12.0,-7.0,-1.0
