Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
9.0,3.4641016151377544,5.0,3.0,1.0,15.0,-18.0,-2.886751345948129
7.5,3.4412360080584268,4.0,3.0,1.0,12.0,-18.0,-2.3247461032216923
14.0,3.5243513774280433,12.0,7.0,5.0,7.0,5.0,1.41870076633756
18.5,3.5909242322980393,16.0,13.0,5.0,13.0,5.0,0.8354395152693398
12.5,2.8003759146153744,15.0,7.0,15.0,18.0,-4.0,-1.0712847458595727
9.5,2.564945880212885,8.0,6.0,6.0,13.0,-11.0,-1.949358868961793
12.0,3.4641016151377544,9.0,5.0,3.0,19.0,-16.0,-2.886751345948129
12.0,2.635786110641877,13.0,7.0,12.0,13.0,0.0,0.0
13.5,3.052177824715364,15.0,8.0,12.0,8.0,12.0,2.293444354164652
13.5,2.3508117299081364,17.0,10.0,18.0,10.0,18.0,2.9776948578836393
14.5,2.6852423197524415,15.0,10.0,10.0,10.0,10.0,1.862029345813737
16.5,3.34821240601451,18.0,11.0,12.0,18.0,0.0,0.0
14.5,3.0174928596261394,10.0,9.0,1.0,18.0,-15.0,-2.6512075992090938
18.0,1.1239029738980326,17.0,16.0,2.0,16.0,2.0,0.8897565210026094
14.0,3.244428422615251,13.0,8.0,7.0,8.0,7.0,1.541103500742244
12.5,4.454447806761001,18.0,4.0,16.0,4.0,16.0,3.1429260387226163
15.5,3.9269648116043703,19.0,8.0,16.0,8.0,16.0,2.8011455482092606
16.0,3.5243513774280433,22.0,10.0,18.0,15.0,13.0,1.986181072872584
17.5,2.164303704731799,15.0,13.0,1.0,13.0,1.0,0.9240847278630152
10.5,2.724160904127902,9.0,5.0,4.0,13.0,-12.0,-1.4683420476150393
