Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
17.5,3.2326459750489227,6.0,24.0,11.0,19.0,16.0,6.0,13.0,2.474752899558984
13.0,4.0743097574926725,5.0,22.0,4.0,19.0,16.0,12.0,7.0,1.472642081021448
15.5,4.05585995813465,6.0,23.0,8.0,19.0,21.0,16.0,3.0,0.4931136727215379
18.5,2.5,6.0,22.0,14.0,17.0,18.0,7.0,10.0,1.6
16.5,3.52845575287547,6.0,22.0,10.0,17.0,20.0,16.0,1.0,0.5668202012651358
14.5,3.9812058474788765,6.0,23.0,6.0,19.0,17.0,12.0,7.0,1.5070810779099848
19.0,2.8635642126552705,7.0,22.0,15.0,14.0,21.0,13.0,1.0,0.34921514788478913
13.5,2.29128784747792,4.0,17.0,9.0,18.0,12.0,4.0,14.0,2.182178902359924
15.0,3.872983346207417,7.0,22.0,8.0,18.0,22.0,18.0,0.0,0.0
17.0,4.0743097574926725,8.0,24.0,10.0,18.0,22.0,16.0,2.0,0.490880693673816
18.0,3.0983866769659336,7.0,21.0,14.0,13.0,21.0,13.0,0.0,0.0
20.0,2.5298221281347035,7.0,24.0,16.0,18.0,22.0,13.0,5.0,0.7905694150420948
20.5,2.7294688127912363,6.0,25.0,16.0,18.0,20.0,9.0,9.0,1.8318582636182792
18.0,1.7320508075688772,7.0,21.0,15.0,18.0,21.0,18.0,0.0,0.0
14.5,3.5,6.0,21.0,8.0,19.0,16.0,12.0,7.0,1.4285714285714286
15.5,2.247220505424423,7.0,19.0,12.0,17.0,19.0,17.0,0.0,0.0
14.0,1.8439088914585775,6.0,18.0,10.0,19.0,18.0,19.0,0.0,0.0
12.5,3.6674241641784495,7.0,20.0,5.0,19.0,20.0,19.0,0.0,0.0
15.5,2.7294688127912363,6.0,20.0,11.0,19.0,18.0,13.0,6.0,0.7327433054473117
14.0,3.1622776601683795,6.0,21.0,7.0,19.0,21.0,19.0,0.0,0.0
