Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
11.0,2.9664793948382653,11.0,5.0,8.0,13.0,-4.0,-0.674199862463242
13.5,2.7658633371878665,14.0,8.0,10.0,19.0,-9.0,-1.807753815155468
13.0,3.1622776601683795,13.0,7.0,8.0,19.0,-11.0,-1.8973665961010275
11.0,1.8439088914585775,11.0,8.0,7.0,9.0,4.0,1.0846522890932808
13.0,3.255764119219941,12.0,6.0,8.0,20.0,-11.0,-2.457180467335805
16.0,2.5298221281347035,13.0,11.0,2.0,11.0,2.0,0.7905694150420948
15.0,3.286335345030997,19.0,8.0,17.0,8.0,17.0,3.347193406976015
13.0,2.5298221281347035,15.0,9.0,13.0,9.0,13.0,2.3717082451262845
13.5,3.442382895611701,13.0,7.0,6.0,18.0,-10.0,-1.452482234435317
15.5,2.1095023109728985,16.0,12.0,10.0,12.0,10.0,1.896181852559909
10.0,2.756809750418044,16.0,4.0,19.0,16.0,0.0,0.0
13.0,2.6457513110645907,12.0,8.0,6.0,15.0,-8.0,-1.1338934190276817
12.0,3.63318042491699,9.0,4.0,2.0,9.0,0.0,0.0
12.5,4.129164564412516,10.0,4.0,5.0,21.0,-14.0,-2.663977138330655
12.5,4.129164564412516,21.0,4.0,19.0,4.0,19.0,4.117055577420103
7.0,2.0,5.0,3.0,1.0,7.0,-6.0,-1.0
13.5,3.6945906403822333,14.0,6.0,10.0,11.0,5.0,0.8119979429411501
15.0,4.171330722922842,12.0,6.0,4.0,24.0,-15.0,-2.876779808912305
17.0,3.0659419433511785,18.0,11.0,10.0,19.0,-4.0,-0.3261640365267211
13.0,3.4351128074635335,12.0,6.0,7.0,20.0,-12.0,-2.328890038958328
