Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
11.0,2.0,11.0,7.0,8.0,15.0,19.0,-11.0,-2.0
8.0,2.5298221281347035,8.0,3.0,7.0,13.0,19.0,-12.0,-1.976423537605237
15.0,3.1937438845342623,15.0,9.0,9.0,21.0,19.0,-10.0,-1.8786728732554485
16.0,3.847076812334269,16.0,9.0,9.0,20.0,16.0,-7.0,-1.0397504898200727
12.5,3.5,20.0,5.0,19.0,20.0,19.0,0.0,0.0
15.5,2.5,21.0,10.0,19.0,14.0,4.0,15.0,2.8
16.5,3.52845575287547,20.0,10.0,16.0,20.0,16.0,0.0,0.0
16.5,3.170173496829472,22.0,11.0,19.0,17.0,10.0,9.0,1.5772007446912792
16.5,2.29128784747792,20.0,13.0,18.0,19.0,15.0,3.0,0.4364357804719848
17.0,3.4351128074635335,20.0,11.0,14.0,17.0,8.0,6.0,0.873333764609373
22.5,1.02469507659596,21.0,21.0,0.0,21.0,0.0,0.0,0.0
19.5,1.284523257866513,19.0,17.0,5.0,20.0,10.0,-5.0,-0.778498944161523
11.0,2.6457513110645907,8.0,6.0,2.0,16.0,19.0,-17.0,-3.0237157840738176
8.5,2.7294688127912363,9.0,4.0,10.0,13.0,19.0,-9.0,-1.4654866108946234
12.5,3.6674241641784495,16.0,5.0,15.0,20.0,19.0,-4.0,-1.0906837662984237
12.0,2.6832815729997477,8.0,7.0,1.0,17.0,19.0,-18.0,-3.3541019662496847
15.5,3.2326459750489227,15.0,10.0,7.0,17.0,13.0,-6.0,-0.618688224889746
12.0,2.449489742783178,8.0,8.0,0.0,16.0,17.0,-17.0,-3.2659863237109046
15.5,2.247220505424423,15.0,11.0,6.0,14.0,4.0,2.0,0.4449941594899848
10.0,3.1622776601683795,9.0,4.0,5.0,16.0,19.0,-14.0,-2.2135943621178655
