Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
9.5,3.7483329627982624,10.0,3.0,10.0,16.0,19.0,-9.0,-1.6007115855366245
8.5,2.1095023109728985,6.0,4.0,1.0,13.0,19.0,-18.0,-3.3183182419798407
14.0,2.5298221281347035,16.0,10.0,13.0,14.0,9.0,4.0,0.7905694150420948
14.0,3.255764119219941,11.0,7.0,1.0,7.0,0.0,1.0,1.2285902336679024
13.0,3.4351128074635335,11.0,6.0,4.0,17.0,16.0,-12.0,-1.746667529218746
14.0,3.255764119219941,9.0,8.0,1.0,20.0,19.0,-18.0,-3.3786231425867315
9.5,3.2326459750489227,9.0,4.0,5.0,10.0,10.0,-5.0,-0.309344112444873
12.0,3.0983866769659336,7.0,6.0,1.0,15.0,16.0,-15.0,-2.581988897471611
14.5,2.8372521918222215,15.0,10.0,10.0,18.0,16.0,-6.0,-1.057361065275362
18.5,3.5846896657869842,18.0,11.0,8.0,26.0,19.0,-11.0,-2.2317134106066825
9.5,1.9621416870348585,7.0,7.0,0.0,12.0,14.0,-14.0,-2.5482359571881275
10.0,3.605551275463989,11.0,4.0,11.0,16.0,18.0,-7.0,-1.386750490563073
15.0,2.792848008753788,18.0,10.0,16.0,17.0,14.0,2.0,0.35805743701971643
15.0,3.0983866769659336,15.0,9.0,7.0,21.0,19.0,-12.0,-1.9364916731037083
12.0,2.569046515733026,11.0,7.0,5.0,17.0,19.0,-14.0,-2.335496832484569
14.0,2.756809750418044,11.0,8.0,1.0,20.0,19.0,-18.0,-3.2646431254950525
14.5,3.905124837953327,13.0,6.0,8.0,23.0,19.0,-11.0,-2.5607375986579197
10.5,3.52845575287547,6.0,4.0,2.0,17.0,19.0,-17.0,-3.1175111069582466
11.0,2.280350850198276,6.0,6.0,0.0,16.0,19.0,-19.0,-4.385290096535146
9.0,3.5496478698597698,14.0,3.0,16.0,15.0,19.0,-3.0,-0.2817180849095055
