Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
13.0,4.103913408340616,17.0,5.0,15.0,21.0,-4.0,-0.9746794344808966
14.5,3.677813996040812,13.0,8.0,6.0,8.0,6.0,1.3595032281084711
18.0,2.973567766700113,24.0,12.0,19.0,20.0,6.0,1.3451854182690983
18.0,3.178877656956105,18.0,12.0,8.0,12.0,8.0,1.8874586088176875
16.5,2.8377159087807518,20.0,12.0,15.0,12.0,15.0,2.8191687459782635
19.5,3.252529380101132,22.0,14.0,14.0,23.0,-2.0,-0.30745302597970897
21.5,1.8496087779795347,20.0,18.0,3.0,23.0,-11.0,-1.6219646206897456
19.0,2.7144835701531846,23.0,14.0,17.0,16.0,14.0,2.578759391645525
18.5,3.2200032690405114,20.0,12.0,12.0,12.0,12.0,2.484469527381511
12.5,3.9269648116043703,16.0,5.0,15.0,20.0,-4.0,-1.0185983811670039
11.5,3.2200032690405114,18.0,5.0,19.0,18.0,0.0,0.0
16.0,2.8284271247461903,15.0,11.0,7.0,11.0,7.0,1.414213562373095
7.0,2.470883072485369,10.0,3.0,16.0,11.0,-3.0,-0.40471360670018974
16.0,3.612842589838003,9.0,9.0,0.0,23.0,-19.0,-3.8750650358746324
17.0,3.5243513774280433,12.0,10.0,1.0,15.0,-4.0,-0.851220459802536
16.5,2.946898458772509,19.0,11.0,15.0,19.0,0.0,0.0
11.5,4.006573545930159,8.0,4.0,4.0,19.0,-15.0,-2.7454881019652566
10.0,2.470883072485369,7.0,7.0,0.0,13.0,-14.0,-2.4282816402011385
8.5,2.6852423197524415,9.0,4.0,10.0,13.0,-8.0,-1.4896234766509895
12.0,2.752988806446741,12.0,7.0,9.0,17.0,-10.0,-1.8162078931419474
