Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
15.0,2.04939015319192,14.0,12.0,4.0,18.0,16.0,-12.0,-1.9518001458970662
11.0,1.6733200530681511,12.0,8.0,12.0,14.0,19.0,-7.0,-1.1952286093343936
13.0,3.255764119219941,10.0,7.0,3.0,19.0,19.0,-16.0,-2.7643280257527802
12.5,3.2326459750489227,6.0,6.0,0.0,14.0,12.0,-12.0,-2.474752899558984
12.5,3.0413812651491097,10.0,7.0,3.0,13.0,10.0,-7.0,-0.9863939238321437
10.5,3.170173496829472,14.0,4.0,16.0,17.0,19.0,-3.0,-0.9463204468147676
15.0,2.569046515733026,16.0,10.0,12.0,18.0,16.0,-4.0,-0.778498944161523
16.0,2.756809750418044,20.0,12.0,18.0,17.0,10.0,8.0,1.0882143751650175
15.0,2.32379000772445,14.0,10.0,6.0,20.0,19.0,-13.0,-2.581988897471611
10.5,2.8722813232690143,8.0,5.0,3.0,16.0,19.0,-16.0,-2.7852424952911656
12.0,2.449489742783178,13.0,7.0,12.0,11.0,7.0,5.0,0.8164965809277261
12.5,3.138470965295043,12.0,7.0,6.0,18.0,18.0,-12.0,-1.9117589636314984
15.5,2.8372521918222215,12.0,10.0,2.0,21.0,19.0,-17.0,-3.172083195826086
12.5,4.129164564412516,12.0,4.0,8.0,8.0,2.0,6.0,0.9687189593929655
15.5,3.138470965295043,11.0,10.0,2.0,19.0,16.0,-14.0,-2.549011951508665
6.5,1.4317821063276353,8.0,4.0,15.0,9.0,18.0,-3.0,-0.6984302957695783
16.0,3.521363372331802,13.0,10.0,3.0,10.0,0.0,3.0,0.8519427513705972
13.5,3.442382895611701,15.0,6.0,10.0,21.0,19.0,-9.0,-1.7429786813223804
14.0,3.521363372331802,17.0,8.0,16.0,16.0,12.0,4.0,0.2839809171235324
13.0,4.147288270665544,10.0,4.0,4.0,9.0,2.0,2.0,0.24112141108520607
