Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
8.5,1.9621416870348585,6.0,12.0,5.0,18.0,12.0,18.0,0.0,0.0
10.5,2.29128784747792,7.0,9.0,7.0,5.0,14.0,18.0,-13.0,-2.182178902359924
10.0,2.756809750418044,5.0,5.0,5.0,0.0,15.0,18.0,-18.0,-3.6273812505500587
7.5,2.0124611797498106,5.0,11.0,4.0,18.0,11.0,18.0,0.0,0.0
8.0,1.4832396974191326,4.0,7.0,5.0,3.0,11.0,19.0,-16.0,-2.696799449852968
11.5,2.6172504656604803,7.0,10.0,6.0,5.0,17.0,19.0,-14.0,-2.6745625196530454
10.0,2.4083189157584592,3.0,8.0,5.0,3.0,8.0,3.0,0.0,0.0
13.5,2.7658633371878665,3.0,15.0,8.0,13.0,8.0,0.0,13.0,2.530855341217655
15.5,1.2041594578792296,7.0,17.0,13.0,16.0,18.0,19.0,-3.0,-0.8304547985373997
12.5,2.247220505424423,5.0,11.0,9.0,4.0,15.0,16.0,-12.0,-1.779976637959939
13.5,3.170173496829472,6.0,10.0,7.0,2.0,20.0,19.0,-17.0,-3.1544014893825585
13.5,3.774917217635375,9.0,11.0,6.0,5.0,21.0,19.0,-14.0,-2.6490647141300876
16.5,2.7658633371878665,7.0,16.0,11.0,7.0,22.0,19.0,-12.0,-2.1693045781865616
12.5,3.5846896657869842,6.0,15.0,5.0,12.0,20.0,19.0,-7.0,-1.3948208816291767
14.0,3.521363372331802,7.0,17.0,8.0,15.0,20.0,18.0,-3.0,-0.8519427513705972
14.0,3.255764119219941,4.0,17.0,7.0,13.0,13.0,7.0,6.0,1.2285902336679024
20.0,3.521363372331802,6.0,22.0,15.0,10.0,22.0,10.0,0.0,0.0
16.0,3.3466401061363023,5.0,12.0,10.0,3.0,16.0,8.0,-5.0,-1.1952286093343936
22.5,2.8722813232690143,6.0,23.0,18.0,10.0,18.0,0.0,10.0,1.7407765595569784
15.0,3.3763886032268267,6.0,14.0,8.0,7.0,22.0,19.0,-12.0,-2.369395511036369
