Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
10.5,2.6551836094703507,12.0,5.0,12.0,13.0,16.0,-4.0,-0.37662178857735473
10.5,3.52845575287547,15.0,4.0,16.0,11.0,10.0,6.0,1.1336404025302715
11.5,3.6674241641784495,11.0,5.0,6.0,13.0,14.0,-8.0,-0.5453418831492118
14.0,3.847076812334269,16.0,6.0,12.0,16.0,12.0,0.0,0.0
13.0,2.6457513110645907,17.0,8.0,18.0,15.0,14.0,4.0,0.7559289460184544
12.5,3.4132096331752027,15.0,5.0,12.0,20.0,19.0,-7.0,-1.464896838272619
14.5,2.6172504656604803,13.0,9.0,5.0,13.0,5.0,0.0,0.0
15.0,2.32379000772445,17.0,10.0,14.0,13.0,2.0,12.0,1.7213259316477407
13.0,1.4832396974191326,16.0,10.0,19.0,14.0,12.0,7.0,1.348399724926484
14.5,2.3769728648009427,18.0,11.0,17.0,14.0,6.0,11.0,1.682812647646685
13.0,3.4351128074635335,12.0,6.0,7.0,15.0,13.0,-6.0,-0.873333764609373
11.0,3.4351128074635335,17.0,5.0,18.0,12.0,10.0,8.0,1.455556274348955
23.0,2.0,21.0,19.0,1.0,19.0,0.0,1.0,1.0
18.0,2.32379000772445,21.0,15.0,14.0,18.0,6.0,8.0,1.2909944487358056
14.0,3.605551275463989,21.0,7.0,19.0,11.0,3.0,16.0,2.773500981126146
20.0,3.255764119219941,18.0,15.0,4.0,21.0,10.0,-6.0,-0.9214426752509268
16.5,3.263433774416144,12.0,10.0,1.0,10.0,0.0,1.0,0.6128514130358955
12.5,3.8275318418009276,9.0,4.0,1.0,21.0,19.0,-18.0,-3.1351796656389848
17.0,2.8635642126552705,15.0,12.0,5.0,16.0,6.0,-1.0,-0.34921514788478913
15.0,3.0983866769659336,15.0,9.0,7.0,19.0,16.0,-9.0,-1.2909944487358056
