Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
16.5,2.8722813232690143,17.0,12.0,10.0,12.0,0.0,10.0,1.7407765595569784
13.5,1.857417562100671,12.0,10.0,3.0,14.0,10.0,-7.0,-1.076763804116331
14.0,3.3466401061363023,19.0,8.0,17.0,14.0,8.0,9.0,1.494035761667992
10.0,2.280350850198276,10.0,6.0,6.0,13.0,16.0,-10.0,-1.3155870289605438
12.5,1.4317821063276353,13.0,10.0,10.0,10.0,0.0,10.0,2.095290887308735
16.5,2.9748949561287032,12.0,11.0,1.0,11.0,0.0,1.0,0.33614632272640715
11.5,3.7483329627982624,13.0,5.0,12.0,5.0,0.0,12.0,2.134282114048833
10.5,2.0124611797498106,10.0,7.0,5.0,14.0,18.0,-13.0,-1.9876159799998132
13.5,2.29128784747792,13.0,9.0,7.0,9.0,0.0,7.0,1.7457431218879391
16.0,3.847076812334269,21.0,8.0,18.0,8.0,0.0,18.0,3.379189091915236
13.5,2.9748949561287032,12.0,8.0,5.0,12.0,5.0,0.0,0.0
18.5,2.9410882339705484,23.0,14.0,17.0,14.0,0.0,17.0,3.060091804131207
11.5,4.129164564412516,9.0,4.0,4.0,6.0,2.0,2.0,0.7265392195447241
12.0,4.09878030638384,9.0,3.0,4.0,3.0,0.0,4.0,1.4638501094227996
14.5,2.6172504656604803,13.0,10.0,6.0,10.0,0.0,6.0,1.1462410798513052
9.5,2.9410882339705484,11.0,4.0,13.0,4.0,0.0,13.0,2.3800714032131607
18.0,2.6832815729997477,18.0,13.0,9.0,13.0,0.0,9.0,1.8633899812498247
12.0,3.0,11.0,7.0,4.0,17.0,17.0,-13.0,-2.0
16.5,3.3541019662496847,19.0,10.0,14.0,10.0,0.0,14.0,2.6832815729997477
16.5,3.263433774416144,19.0,10.0,14.0,19.0,14.0,0.0,0.0
