Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
16.5,3.6124783736376886,16.0,10.0,7.0,20.0,16.0,-9.0,-1.107273064716533
16.5,2.6551836094703507,17.0,12.0,10.0,21.0,18.0,-8.0,-1.506487154309419
12.0,3.9496835316262997,18.0,5.0,17.0,19.0,19.0,-2.0,-0.25318484177091666
14.5,3.7483329627982624,14.0,7.0,8.0,22.0,19.0,-11.0,-2.134282114048833
7.5,1.857417562100671,11.0,4.0,19.0,11.0,19.0,0.0,0.0
11.0,3.3466401061363023,15.0,7.0,14.0,15.0,14.0,0.0,0.0
13.0,3.0659419433511785,17.0,8.0,17.0,18.0,19.0,-2.0,-0.3261640365267211
13.5,3.6124783736376886,18.0,7.0,17.0,20.0,18.0,-1.0,-0.5536365323582665
13.5,2.29128784747792,17.0,9.0,18.0,18.0,19.0,-1.0,-0.4364357804719848
17.0,2.8635642126552705,20.0,13.0,13.0,21.0,19.0,-6.0,-0.34921514788478913
15.5,1.4317821063276353,15.0,13.0,7.0,18.0,19.0,-12.0,-2.095290887308735
13.5,2.29128784747792,17.0,10.0,18.0,17.0,18.0,0.0,0.0
15.5,3.2326459750489227,20.0,9.0,17.0,22.0,19.0,-2.0,-0.618688224889746
11.5,3.6674241641784495,17.0,5.0,18.0,18.0,19.0,-1.0,-0.2726709415746059
15.0,2.04939015319192,18.0,12.0,17.0,18.0,17.0,0.0,0.0
17.5,2.9410882339705484,22.0,12.0,18.0,23.0,19.0,-1.0,-0.34001020045902297
18.0,2.04939015319192,21.0,15.0,17.0,21.0,17.0,0.0,0.0
18.0,3.0983866769659336,24.0,12.0,19.0,18.0,7.0,12.0,1.9364916731037083
18.5,2.6172504656604803,23.0,14.0,18.0,20.0,12.0,6.0,1.1462410798513052
21.5,2.3769728648009427,26.0,17.0,19.0,21.0,7.0,12.0,2.103515809558356
