Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
17.0,2.9664793948382653,7.0,19.0,12.0,13.0,19.0,13.0,0.0,0.0
17.0,2.756809750418044,5.0,15.0,12.0,4.0,17.0,8.0,-4.0,-0.7254762501100117
13.0,3.687817782917155,1.0,11.0,6.0,4.0,6.0,0.0,4.0,1.355815361366601
10.5,3.0740852297878796,7.0,10.0,4.0,8.0,17.0,19.0,-11.0,-2.277100170213244
15.5,3.3241540277189325,6.0,11.0,9.0,1.0,19.0,16.0,-15.0,-2.4066273503847473
9.5,3.3241540277189325,3.0,11.0,3.0,13.0,5.0,1.0,12.0,1.8049705127885605
11.0,3.7682887362833544,2.0,10.0,3.0,7.0,3.0,0.0,7.0,1.8576071235199634
12.0,3.9496835316262997,6.0,16.0,4.0,15.0,20.0,19.0,-4.0,-1.0127393670836666
16.0,3.4351128074635335,4.0,14.0,10.0,4.0,14.0,4.0,0.0,0.0
8.0,2.1447610589527217,2.0,10.0,5.0,13.0,6.0,3.0,10.0,1.8650096164806276
15.5,3.5846896657869842,8.0,21.0,9.0,17.0,22.0,19.0,-2.0,-0.2789641763258353
16.5,2.539685019840059,2.0,19.0,12.0,15.0,12.0,0.0,15.0,2.756247308353552
17.0,3.255764119219941,5.0,22.0,12.0,18.0,17.0,9.0,9.0,1.535737792084878
17.0,3.7682887362833544,6.0,22.0,10.0,17.0,21.0,16.0,1.0,0.2653724462171376
13.0,3.255764119219941,3.0,14.0,6.0,10.0,6.0,0.0,10.0,2.457180467335805
12.5,1.9621416870348585,3.0,16.0,9.0,18.0,9.0,0.0,18.0,3.5675303400633784
12.0,2.898275349237888,2.0,11.0,6.0,7.0,6.0,0.0,7.0,1.7251638983558855
16.0,3.3466401061363023,2.0,21.0,10.0,17.0,10.0,0.0,17.0,3.2868786756695823
17.0,3.605551275463989,2.0,18.0,10.0,12.0,10.0,0.0,12.0,2.2188007849009166
12.5,2.7294688127912363,2.0,15.0,8.0,16.0,8.0,0.0,16.0,2.564601569065591
