Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
17.0,2.280350850198276,7.0,20.0,14.0,17.0,20.0,17.0,0.0,0.0
14.5,2.6172504656604803,7.0,14.0,9.0,8.0,20.0,19.0,-11.0,-2.2924821597026104
17.5,2.3769728648009427,7.0,16.0,13.0,4.0,22.0,19.0,-15.0,-2.5242189714700274
18.0,2.449489742783178,7.0,18.0,14.0,7.0,21.0,16.0,-9.0,-1.2247448713915892
14.0,2.5298221281347035,8.0,18.0,9.0,18.0,19.0,19.0,-1.0,-0.3952847075210474
14.0,3.255764119219941,7.0,8.0,8.0,0.0,20.0,19.0,-19.0,-3.6857707010037073
5.0,1.0,3.0,5.0,3.0,7.0,7.0,19.0,-12.0,-2.0
13.5,3.6124783736376886,3.0,8.0,7.0,1.0,10.0,3.0,-2.0,-0.5536365323582665
11.0,1.8439088914585775,7.0,13.0,8.0,15.0,14.0,18.0,-3.0,-0.5423261445466404
14.5,3.3241540277189325,7.0,16.0,9.0,12.0,20.0,18.0,-6.0,-1.2033136751923736
16.0,4.0,7.0,14.0,8.0,6.0,24.0,19.0,-13.0,-2.5
14.0,2.756809750418044,7.0,14.0,9.0,8.0,19.0,19.0,-11.0,-1.8136906252750293
12.0,3.286335345030997,6.0,14.0,5.0,12.0,19.0,19.0,-7.0,-1.5214515486254614
11.5,2.9410882339705484,8.0,7.0,7.0,0.0,16.0,17.0,-17.0,-3.060091804131207
8.5,2.6172504656604803,4.0,8.0,4.0,5.0,13.0,18.0,-13.0,-1.9104017997521752
12.0,3.9496835316262997,7.0,10.0,5.0,4.0,19.0,19.0,-15.0,-2.27866357593825
13.0,3.4351128074635335,5.0,15.0,7.0,14.0,16.0,16.0,-2.0,-0.291111254869791
17.0,2.5298221281347035,5.0,17.0,13.0,7.0,15.0,3.0,4.0,0.7905694150420948
11.0,2.8635642126552705,6.0,12.0,5.0,10.0,17.0,19.0,-9.0,-1.7460757394239457
11.0,3.0659419433511785,6.0,11.0,5.0,8.0,17.0,19.0,-11.0,-1.9569842191603264
