Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
16.5,4.224926034855522,23.0,8.0,18.0,21.0,16.0,2.0,0.47338106833115084
9.5,2.9410882339705484,11.0,4.0,13.0,15.0,19.0,-6.0,-1.3600408018360919
10.0,2.280350850198276,8.0,7.0,3.0,13.0,17.0,-14.0,-2.192645048267573
12.0,4.381780460041329,5.0,4.0,1.0,20.0,19.0,-18.0,-3.4232659844072884
11.0,2.6457513110645907,12.0,6.0,11.0,16.0,19.0,-8.0,-1.5118578920369088
12.5,2.1095023109728985,14.0,9.0,13.0,16.0,18.0,-5.0,-0.9480909262799545
13.5,3.170173496829472,12.0,7.0,5.0,7.0,0.0,5.0,1.5772007446912792
14.5,2.8372521918222215,18.0,10.0,16.0,16.0,13.0,3.0,0.7049073768502414
13.5,2.29128784747792,17.0,9.0,18.0,18.0,19.0,-1.0,-0.4364357804719848
19.0,0.6324555320336759,20.0,18.0,16.0,20.0,16.0,0.0,0.0
12.5,3.8275318418009276,10.0,4.0,4.0,21.0,19.0,-15.0,-2.8739146935024027
9.0,2.32379000772445,11.0,4.0,14.0,14.0,19.0,-5.0,-1.2909944487358056
11.0,3.687817782917155,5.0,5.0,0.0,17.0,18.0,-18.0,-3.2539568672798427
15.0,3.0,18.0,10.0,16.0,20.0,18.0,-2.0,-0.6666666666666666
14.0,2.280350850198276,15.0,9.0,10.0,19.0,19.0,-9.0,-1.7541160386140584
20.0,2.4083189157584592,19.0,15.0,4.0,15.0,0.0,4.0,1.6609095970747993
14.5,2.7294688127912363,17.0,10.0,15.0,19.0,18.0,-3.0,-0.7327433054473117
19.5,2.1563858652847827,18.0,17.0,6.0,17.0,0.0,6.0,0.46373889576016825
14.0,3.255764119219941,17.0,7.0,15.0,21.0,19.0,-4.0,-1.2285902336679024
11.0,2.6457513110645907,12.0,6.0,11.0,6.0,0.0,11.0,2.2677868380553634
