Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
6.5,1.4689774459950382,7.0,4.0,10.0,9.0,-8.0,-1.3614912914100352
9.0,2.3841582427170787,11.0,4.0,14.0,14.0,-5.0,-1.2583057392117918
10.5,3.531810330485814,13.0,3.0,13.0,18.0,-6.0,-1.4157045628529636
17.5,0.9459053029269173,18.0,16.0,10.0,18.0,0.0,0.0
16.5,2.946898458772509,18.0,12.0,10.0,18.0,0.0,0.0
13.0,3.4335803011158084,20.0,6.0,19.0,20.0,0.0,0.0
16.0,1.2977713690461004,18.0,14.0,17.0,18.0,0.0,0.0
13.0,2.051956704170308,15.0,9.0,15.0,17.0,-4.0,-0.9746794344808966
13.0,3.6992175559590694,17.0,6.0,16.0,20.0,-3.0,-0.8109823103448728
17.5,3.5018791947662677,23.0,11.0,18.0,24.0,-1.0,-0.2855609643800819
13.5,4.547989723637883,19.0,4.0,18.0,16.0,6.0,0.6596320973215251
19.0,3.244428422615251,25.0,13.0,19.0,19.0,11.0,1.849324200890693
16.5,3.252529380101132,23.0,10.0,19.0,10.0,19.0,3.9968893377362167
11.0,2.051956704170308,15.0,7.0,19.0,15.0,0.0,0.0
22.5,2.2124052165246,27.0,18.0,19.0,18.0,19.0,4.067970881996846
14.5,4.52478554304249,24.0,5.0,19.0,24.0,0.0,0.0
16.5,3.252529380101132,21.0,12.0,17.0,18.0,4.0,0.9223590779391269
21.0,1.7770466332772772,22.0,18.0,12.0,18.0,12.0,2.2509257354845507
18.5,2.164303704731799,16.0,15.0,1.0,19.0,-9.0,-1.3861270917945228
16.5,3.790570016848598,19.0,9.0,13.0,19.0,0.0,0.0
