Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
15.5,3.2200032690405114,21.0,10.0,18.0,10.0,18.0,3.416145600149578
15.5,1.670171752907624,14.0,13.0,3.0,13.0,3.0,0.5987408170800917
18.5,2.305599590927317,20.0,14.0,13.0,14.0,13.0,2.602359934314001
18.0,3.178877656956105,24.0,12.0,19.0,12.0,19.0,3.774917217635375
17.5,3.5018791947662677,23.0,12.0,18.0,17.0,9.0,1.7133657862804912
18.5,2.6852423197524415,23.0,14.0,18.0,14.0,18.0,3.351652822464726
15.5,3.8457084762382245,19.0,8.0,16.0,18.0,3.0,0.26003011049297603
18.5,2.438722702779599,21.0,15.0,14.0,15.0,14.0,2.4603043196183565
15.5,3.5909242322980393,18.0,9.0,14.0,22.0,-5.0,-1.113919353692453
16.0,4.611199181854634,23.0,7.0,18.0,21.0,2.0,0.4337266557190002
13.0,3.7836212117076693,19.0,6.0,18.0,9.0,15.0,2.642970699354622
14.0,4.103913408340616,19.0,6.0,17.0,17.0,3.0,0.4873397172404483
18.5,3.5018791947662677,25.0,12.0,19.0,17.0,14.0,2.284487715040655
18.0,2.752988806446741,17.0,13.0,6.0,16.0,3.0,0.36324157862838946
16.0,3.4335803011158084,15.0,10.0,7.0,18.0,-6.0,-0.8737235587660763
12.0,4.4248104330492,19.0,5.0,17.0,12.0,10.0,1.5819886763321067
12.5,3.3166247903554,16.0,7.0,15.0,12.0,6.0,1.2060453783110545
14.0,4.328607409463598,23.0,5.0,19.0,23.0,0.0,0.0
15.5,3.7626978003610794,23.0,8.0,19.0,14.0,13.0,2.391900832199794
17.5,3.5909242322980393,21.0,11.0,15.0,11.0,15.0,2.7847983842311326
