Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
13.0,2.8635642126552705,16.0,9.0,13.0,11.0,7.0,6.0,1.7460757394239457
14.0,2.8635642126552705,16.0,9.0,14.0,12.0,3.0,11.0,1.3968605915391565
12.5,2.9410882339705484,13.0,7.0,10.0,11.0,5.0,5.0,0.6800204009180459
19.5,3.3541019662496847,16.0,13.0,2.0,19.0,7.0,-5.0,-0.8944271909999159
11.0,3.3466401061363023,7.0,5.0,2.0,13.0,14.0,-12.0,-1.7928429140015905
13.5,3.442382895611701,13.0,7.0,6.0,20.0,19.0,-13.0,-2.0334751282094436
11.5,2.8372521918222215,8.0,7.0,1.0,11.0,8.0,-7.0,-1.057361065275362
12.0,3.0,13.0,7.0,10.0,17.0,17.0,-7.0,-1.3333333333333333
10.5,3.930648801406709,11.0,3.0,10.0,5.0,1.0,9.0,1.5264655539443532
7.0,2.9664793948382653,11.0,3.0,16.0,11.0,16.0,0.0,0.0
14.5,3.6674241641784495,14.0,8.0,8.0,17.0,14.0,-6.0,-0.8180128247238178
12.0,2.898275349237888,15.0,6.0,16.0,6.0,0.0,16.0,3.1052950170405937
13.5,2.9748949561287032,14.0,8.0,10.0,19.0,19.0,-9.0,-1.6807316136320358
15.5,1.9621416870348585,18.0,12.0,17.0,12.0,0.0,17.0,3.057883148625753
12.5,2.5,16.0,8.0,17.0,8.0,0.0,17.0,3.2
17.5,2.6172504656604803,23.0,12.0,19.0,23.0,19.0,0.0,0.0
21.0,1.5491933384829668,22.0,18.0,13.0,18.0,0.0,13.0,2.581988897471611
18.0,1.7320508075688772,17.0,15.0,4.0,15.0,0.0,4.0,1.1547005383792517
14.0,3.3466401061363023,18.0,7.0,16.0,7.0,0.0,16.0,3.2868786756695823
16.5,2.539685019840059,17.0,12.0,10.0,18.0,12.0,-2.0,-0.3937496154790789
