Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
11.0,2.6457513110645907,14.0,6.0,16.0,6.0,0.0,16.0,3.0237157840738176
12.0,3.9496835316262997,20.0,4.0,19.0,13.0,12.0,7.0,1.7722938923964167
13.5,2.7658633371878665,16.0,8.0,14.0,16.0,14.0,0.0,0.0
14.5,1.6278820596099706,17.0,12.0,17.0,15.0,10.0,7.0,1.2285902336679024
17.0,3.255764119219941,19.0,11.0,14.0,20.0,16.0,-2.0,-0.3071475584169756
14.5,3.5,22.0,7.0,19.0,22.0,19.0,0.0,0.0
23.0,1.8439088914585775,24.0,20.0,11.0,20.0,0.0,11.0,2.1693045781865616
22.0,1.6733200530681511,25.0,19.0,19.0,19.0,0.0,19.0,3.585685828003181
12.5,3.138470965295043,18.0,7.0,18.0,18.0,18.0,0.0,0.0
10.5,2.8722813232690143,13.0,5.0,15.0,12.0,12.0,3.0,0.3481553119113957
16.0,3.605551275463989,21.0,9.0,17.0,19.0,14.0,3.0,0.5547001962252291
14.0,3.3466401061363023,20.0,8.0,19.0,20.0,19.0,0.0,0.0
12.0,2.898275349237888,18.0,6.0,19.0,14.0,13.0,6.0,1.3801311186847083
19.0,3.4351128074635335,22.0,14.0,13.0,24.0,18.0,-5.0,-0.582222509739582
16.5,3.0740852297878796,20.0,11.0,15.0,19.0,13.0,2.0,0.3253000243161777
16.0,3.1622776601683795,17.0,10.0,11.0,10.0,0.0,11.0,2.2135943621178655
13.5,2.8722813232690143,15.0,10.0,10.0,17.0,14.0,-4.0,-0.6963106238227914
16.5,4.080441152620633,21.0,8.0,17.0,14.0,5.0,12.0,1.7155007848855515
15.0,3.0,17.0,10.0,13.0,20.0,18.0,-5.0,-1.0
14.5,3.9812058474788765,22.0,7.0,19.0,22.0,19.0,0.0,0.0
