Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
12.5,2.7294688127912363,14.0,7.0,12.0,18.0,-7.0,-1.4654866108946234
16.0,2.756809750418044,16.0,11.0,7.0,16.0,0.0,0.0
17.0,2.4083189157584592,19.0,12.0,14.0,12.0,14.0,2.9065917948808986
13.0,2.9664793948382653,17.0,7.0,17.0,7.0,17.0,3.3709993123162105
15.0,3.714835124201342,18.0,7.0,13.0,23.0,-6.0,-1.3459547551454139
12.5,3.0413812651491097,14.0,6.0,10.0,19.0,-9.0,-1.643989873053573
17.0,2.1447610589527217,16.0,13.0,5.0,13.0,5.0,1.3987572123604706
14.5,2.6172504656604803,17.0,10.0,14.0,19.0,-5.0,-0.7641607199008701
13.0,2.9664793948382653,15.0,8.0,13.0,18.0,-5.0,-1.0112997936948631
16.5,1.857417562100671,18.0,13.0,13.0,13.0,13.0,2.6919095102908277
13.5,3.442382895611701,12.0,7.0,4.0,20.0,-15.0,-2.323971575096507
8.5,2.1095023109728985,8.0,5.0,4.0,5.0,4.0,1.4221363894199317
11.0,2.6457513110645907,8.0,6.0,2.0,16.0,-17.0,-3.0237157840738176
13.0,3.605551275463989,10.0,6.0,4.0,20.0,-15.0,-2.773500981126146
11.0,3.4351128074635335,10.0,4.0,6.0,18.0,-13.0,-2.328890038958328
9.5,3.6674241641784495,6.0,4.0,3.0,15.0,-16.0,-2.4540384741714534
8.5,1.9621416870348585,10.0,5.0,14.0,12.0,-4.0,-1.019294382875251
13.5,3.52845575287547,10.0,6.0,2.0,21.0,-17.0,-3.1175111069582466
12.0,2.1908902300206643,10.0,8.0,3.0,16.0,-16.0,-2.7386127875258306
13.5,3.442382895611701,8.0,8.0,0.0,15.0,-10.0,-2.0334751282094436
