Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
15.0,3.9496835316262997,6.0,19.0,7.0,16.0,18.0,14.0,2.0,0.25318484177091666
9.0,2.898275349237888,6.0,14.0,4.0,18.0,14.0,18.0,0.0,0.0
20.5,2.3769728648009427,7.0,25.0,16.0,19.0,19.0,3.0,16.0,2.5242189714700274
15.5,3.4132096331752027,4.0,12.0,9.0,2.0,14.0,5.0,-3.0,-0.5859587353090476
13.0,3.7682887362833544,7.0,20.0,6.0,19.0,20.0,19.0,0.0,0.0
13.0,2.8635642126552705,7.0,18.0,8.0,18.0,18.0,18.0,0.0,0.0
11.5,1.9621416870348585,5.0,10.0,8.0,3.0,15.0,18.0,-15.0,-2.5482359571881275
17.0,2.0,6.0,17.0,14.0,7.0,18.0,13.0,-6.0,-0.5
14.0,2.756809750418044,7.0,16.0,9.0,14.0,19.0,19.0,-5.0,-1.0882143751650175
16.5,2.539685019840059,7.0,15.0,12.0,4.0,21.0,19.0,-15.0,-2.362497692874473
14.5,2.8372521918222215,8.0,14.0,10.0,8.0,19.0,19.0,-11.0,-1.7622684421256034
17.0,2.280350850198276,6.0,21.0,13.0,19.0,17.0,9.0,10.0,1.7541160386140584
11.0,1.6733200530681511,6.0,11.0,8.0,6.0,14.0,18.0,-12.0,-1.7928429140015905
15.5,1.8027756377319946,6.0,16.0,12.0,10.0,19.0,19.0,-9.0,-1.6641005886756874
13.0,3.0659419433511785,7.0,17.0,8.0,17.0,18.0,19.0,-2.0,-0.3261640365267211
15.5,3.5,7.0,17.0,9.0,12.0,18.0,14.0,-2.0,-0.2857142857142857
11.5,3.0413812651491097,6.0,15.0,5.0,17.0,18.0,19.0,-2.0,-0.9863939238321437
11.0,2.8635642126552705,3.0,13.0,6.0,15.0,8.0,3.0,12.0,1.7460757394239457
15.0,2.569046515733026,4.0,14.0,10.0,5.0,14.0,5.0,0.0,0.0
10.5,2.9748949561287032,8.0,11.0,5.0,10.0,16.0,19.0,-9.0,-1.6807316136320358
