Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
12.5,3.8275318418009276,15.0,4.0,10.0,4.0,0.0,10.0,2.8739146935024027
14.5,2.9410882339705484,18.0,9.0,16.0,14.0,7.0,9.0,1.3600408018360919
13.0,3.0659419433511785,15.0,7.0,14.0,11.0,5.0,9.0,1.3046561461068844
14.0,3.521363372331802,12.0,8.0,4.0,16.0,12.0,-8.0,-1.1359236684941296
8.5,2.9410882339705484,5.0,3.0,1.0,14.0,19.0,-18.0,-3.060091804131207
13.5,3.3541019662496847,14.0,8.0,10.0,11.0,4.0,6.0,0.8944271909999159
7.5,1.857417562100671,7.0,4.0,7.0,11.0,19.0,-12.0,-2.153527608232662
12.0,3.286335345030997,16.0,7.0,15.0,7.0,0.0,15.0,2.7386127875258306
11.5,2.3769728648009427,11.0,7.0,6.0,14.0,16.0,-10.0,-1.2621094857350137
10.5,2.7658633371878665,16.0,5.0,19.0,5.0,0.0,19.0,3.9770583933420296
16.0,2.8635642126552705,15.0,11.0,6.0,15.0,6.0,0.0,0.0
16.0,2.9664793948382653,11.0,11.0,0.0,16.0,9.0,-9.0,-1.6854996561581053
13.5,2.7658633371878665,16.0,8.0,14.0,8.0,0.0,14.0,2.8924061042487486
12.5,4.05585995813465,15.0,4.0,14.0,21.0,19.0,-5.0,-1.4793410181646136
15.5,2.247220505424423,12.0,12.0,0.0,12.0,0.0,0.0,0.0
13.5,2.6551836094703507,15.0,9.0,13.0,11.0,3.0,10.0,1.506487154309419
15.5,3.0413812651491097,22.0,9.0,19.0,9.0,0.0,19.0,4.27437366993929
18.0,3.0983866769659336,19.0,12.0,12.0,21.0,16.0,-4.0,-0.6454972243679028
15.5,3.905124837953327,9.0,8.0,1.0,19.0,15.0,-14.0,-2.5607375986579197
11.0,3.687817782917155,13.0,3.0,10.0,19.0,19.0,-9.0,-1.6269784336399213
