Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
8.0,1.4832396974191326,5.0,10.0,5.0,17.0,11.0,19.0,-2.0,-0.674199862463242
13.5,2.8722813232690143,5.0,15.0,8.0,12.0,15.0,12.0,0.0,0.0
14.5,3.138470965295043,4.0,21.0,8.0,19.0,12.0,3.0,16.0,2.867638445447248
17.0,2.4083189157584592,6.0,19.0,13.0,13.0,20.0,16.0,-3.0,-0.41522739926869984
14.0,2.756809750418044,5.0,18.0,9.0,17.0,17.0,16.0,1.0,0.36273812505500586
16.5,1.5,4.0,16.0,14.0,4.0,14.0,0.0,4.0,1.3333333333333333
16.0,3.605551275463989,4.0,17.0,9.0,10.0,15.0,6.0,4.0,0.5547001962252291
11.0,2.8635642126552705,6.0,12.0,7.0,10.0,15.0,17.0,-7.0,-1.0476454436543674
15.5,2.3769728648009427,5.0,17.0,11.0,13.0,15.0,7.0,6.0,0.8414063238233425
13.5,2.539685019840059,5.0,14.0,9.0,10.0,15.0,14.0,-4.0,-0.3937496154790789
19.0,3.924283374069717,7.0,24.0,11.0,16.0,24.0,16.0,0.0,0.0
15.0,3.5496478698597698,5.0,20.0,8.0,17.0,19.0,16.0,1.0,0.2817180849095055
11.0,3.255764119219941,6.0,9.0,4.0,5.0,18.0,19.0,-14.0,-2.7643280257527802
17.5,2.8372521918222215,4.0,19.0,13.0,13.0,13.0,0.0,13.0,2.114722130550724
8.0,3.255764119219941,6.0,13.0,3.0,16.0,13.0,16.0,0.0,0.0
12.5,3.9812058474788765,5.0,13.0,5.0,10.0,14.0,12.0,-2.0,-0.25118017965166417
9.5,3.8275318418009276,8.0,14.0,3.0,16.0,16.0,19.0,-3.0,-0.5225299442731641
14.5,2.8372521918222215,5.0,16.0,10.0,12.0,14.0,8.0,4.0,0.7049073768502414
13.5,3.263433774416144,4.0,9.0,7.0,1.0,12.0,6.0,-5.0,-0.9192771195538434
12.5,3.4132096331752027,4.0,15.0,5.0,12.0,10.0,3.0,9.0,1.464896838272619
