Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
14.0,3.1622776601683795,20.0,8.0,19.0,20.0,19.0,0.0,0.0
12.5,2.6172504656604803,14.0,8.0,12.0,17.0,18.0,-6.0,-1.1462410798513052
14.5,2.1095023109728985,19.0,10.0,19.0,19.0,19.0,0.0,0.0
14.0,2.280350850198276,16.0,10.0,15.0,10.0,0.0,15.0,2.6311740579210876
14.5,3.3241540277189325,14.0,8.0,7.0,14.0,7.0,0.0,0.0
14.5,3.0413812651491097,13.0,8.0,4.0,18.0,16.0,-12.0,-1.643989873053573
13.0,3.4351128074635335,19.0,7.0,19.0,19.0,19.0,0.0,0.0
14.5,2.6172504656604803,16.0,10.0,12.0,15.0,10.0,2.0,0.38208035995043504
17.0,3.605551275463989,17.0,10.0,8.0,14.0,3.0,5.0,0.8320502943378437
17.0,2.5298221281347035,19.0,13.0,14.0,13.0,0.0,14.0,2.3717082451262845
14.5,3.5846896657869842,15.0,8.0,10.0,10.0,3.0,7.0,1.3948208816291767
15.0,2.792848008753788,14.0,9.0,7.0,9.0,0.0,7.0,1.7902871850985822
13.5,2.8722813232690143,16.0,9.0,14.0,15.0,13.0,1.0,0.3481553119113957
16.0,3.1622776601683795,19.0,10.0,14.0,10.0,0.0,14.0,2.846049894151541
18.5,3.6674241641784495,20.0,12.0,11.0,12.0,0.0,11.0,2.1813675325968473
17.5,2.8372521918222215,22.0,13.0,18.0,13.0,0.0,18.0,3.172083195826086
17.0,3.521363372331802,22.0,10.0,17.0,14.0,3.0,14.0,2.2718473369882592
15.5,1.2041594578792296,17.0,14.0,14.0,17.0,14.0,0.0,0.0
14.5,3.6674241641784495,14.0,8.0,8.0,17.0,14.0,-6.0,-0.8180128247238178
9.5,2.9410882339705484,15.0,4.0,19.0,15.0,19.0,0.0,0.0
